ID	redshift	Flux (Ha 6563) MAST G235M	F_err(Ha 6563) MAST G235M	Optimal dline (Ha 6563) MAST G235M	Flux (Hb 4861) MAST G235M	F_err(Hb 4861) MAST G235M	Optimal dline (Hb 4861) MAST G235M	Flux ([OIII]4959) MAST G235M	F_err([OIII]4959) MAST G235M	Optimal dline ([OIII]4959) MAST G235M	Flux ([OIII]5007) MAST G235M	F_err([OIII]5007) MAST G235M	Optimal dline ([OIII]5007) MAST G235M	Flux ([NII]6583) MAST G235M	F_err([NII]6583) MAST G235M	Optimal dline ([NII]6583) MAST G235M	Flux ([OIII]4363) MAST G235M	F_err([OIII]4363) MAST G235M	Optimal dline ([OIII]4363) MAST G235M	Flux (Ha 6563) JADES G235M	F_err(Ha 6563) JADES G235M	Optimal dline (Ha 6563) JADES G235M	Flux (Hb 4861) JADES G235M	F_err(Hb 4861) JADES G235M	Optimal dline (Hb 4861) JADES G235M	Flux ([OIII]4959) JADES G235M	F_err([OIII]4959) JADES G235M	Optimal dline ([OIII]4959) JADES G235M	Flux ([OIII]5007) JADES G235M	F_err([OIII]5007) JADES G235M	Optimal dline ([OIII]5007) JADES G235M	Flux ([NII]6583) JADES G235M	F_err([NII]6583) JADES G235M	Optimal dline ([NII]6583) JADES G235M	Flux ([OIII]4363) JADES G235M	F_err([OIII]4363) JADES G235M	Optimal dline ([OIII]4363) JADES G235M	Flux (Ha 6563) MAST G395M	F_err(Ha 6563) MAST G395M	Optimal dline (Ha 6563) MAST G395M	Flux (Hb 4861) MAST G395M	F_err(Hb 4861) MAST G395M	Optimal dline (Hb 4861) MAST G395M	Flux ([OIII]4959) MAST G395M	F_err([OIII]4959) MAST G395M	Optimal dline ([OIII]4959) MAST G395M	Flux ([OIII]5007) MAST G395M	F_err([OIII]5007) MAST G395M	Optimal dline ([OIII]5007) MAST G395M	Flux ([NII]6583) MAST G395M	F_err([NII]6583) MAST G395M	Optimal dline ([NII]6583) MAST G395M	Flux ([OIII]4363) MAST G395M	F_err([OIII]4363) MAST G395M	Optimal dline ([OIII]4363) MAST G395M	Flux (Ha 6563) JADES G395M	F_err(Ha 6563) JADES G395M	Optimal dline (Ha 6563) JADES G395M	Flux (Hb 4861) JADES G395M	F_err(Hb 4861) JADES G395M	Optimal dline (Hb 4861) JADES G395M	Flux ([OIII]4959) JADES G395M	F_err([OIII]4959) JADES G395M	Optimal dline ([OIII]4959) JADES G395M	Flux ([OIII]5007) JADES G395M	F_err([OIII]5007) JADES G395M	Optimal dline ([OIII]5007) JADES G395M	Flux ([NII]6583) JADES G395M	F_err([NII]6583) JADES G395M	Optimal dline ([NII]6583) JADES G395M	Flux ([OIII]4363) JADES G395M	F_err([OIII]4363) JADES G395M	Optimal dline ([OIII]4363) JADES G395M	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux ([OIII]4363) MAST G395H	F_err([OIII]4363) MAST G395H	Optimal dline ([OIII]4363) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H	Flux ([OIII]4363) JADES G395H	F_err([OIII]4363) JADES G395H	Optimal dline ([OIII]4363) JADES G395H
3184	3.46762	67.0070737675228	1.0903605673204164	4.5	30.31884594926619	1.6456005585717983	6.5	64.5397929004304	1.443406801536495	6.0	159.65034989054266	1.551059884288836	6.5	2.5010739832646722	1.0836847507263987	5.0	8.955021548035452	1.6676893838470024	4.5	47.55458038187441	1.2014683592646527	5.5	16.430173511947185	0.919643648325323	5.0	38.39030186721201	0.8836547193290105	5.0	99.18833966472278	0.8667934782212374	5.5	1.0740086249417942	1.068106185093693	5.0	3.601239747743818	1.021046181132378	4.5	64.60294953944474	1.6308372194405598	6.0			5.0			5.0			5.0	2.5081304812719525	1.323406423676334	5.0			5.0	57.40484078438267	1.0190344638026192	6.5			5.0			5.0			5.0	1.2433784962625705	0.7161944852942118	5.0			5.0	71.49558783687317	1.4476764700417162	5.0			5.0			5.0			5.0	3.0576219062727135	1.554091303564949	5.0			5.0	61.25878699129703	1.428141295290281	5.5			5.0			5.0			5.0	0.6708600567448054	1.3277988922176	5.0			5.0
3334	6.70593			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	3.397157973645652	0.9523639966870077	5.0	0.14340392623493545	0.5651022818268406	5.0	1.4881131266787475	0.4856501697591341	5.0	5.248859975472312	0.4763833549871591	5.0	0.42587807704965036	0.5986098370302546	5.0	0.036303798527291466	0.6274266534249563	5.0	3.8440037494457626	0.9694213535501942	5.0	2.600682546494495	0.5982827966969728	5.5	4.072787112814162	0.5748698615572235	5.0	12.784911838613636	0.5043680503110461	5.0	0.46510341025636587	1.0772702998212067	5.0	0.8928461475349786	0.7426553795611152	5.0																			4.089138172424748	1.5519762439050804	5.0	4.0065543696722585	0.45439938151083165	5.5			5.0			5.0	2.3472774938380976	1.542560362438814	5.0	0.6861227143073877	0.41390044336159015	5.0
3968	5.76847043540196			5.0			5.0			5.0			5.0			5.0	0.24041405747449698	0.0	5.0			5.0			5.0			5.0			5.0			5.0	1.975236992582279	0.0	5.0	2.9883604670591963	0.5170068514658328	5.5	1.4192357847330215	0.62921593103491	5.0	2.1038226923507817	0.6113563228751078	5.0	6.976414372828157	0.7656524385068021	5.5	0.5525578733440105	0.5138872186532679	5.0	0.6190497738834663	0.9018524451243588	5.0	2.163691034101172	0.6296635820722559	5.0	1.2112999528689985	1.0045879256749206	8.0	2.8582665505124556	0.6319207072888443	5.0	8.115407726309188	0.8002395203761677	5.5	0.39239176389945385	0.625843396244543	5.0	0.0368716143675565	0.6665530929608343	5.0	3.9811636367153542	0.8241255641057269	5.0	2.482433274411986	0.8905185387373005	5.0	2.5688836590443844	0.8551410581822662	5.0	7.701052561987628	0.8447124317454882	5.0	0.11026684652138079	0.6376339302879792	5.0	0.42072355676924666	1.1084140862388565	5.0	4.013515574663816	1.2996215603608496	5.0	0.8675718880796157	1.1132411464615024	5.0	1.8541282962581322	1.0696760583444627	5.0	8.936325655417246	1.049265296615467	5.0	0.7562695584776203	1.291736721523108	5.0	0.5176228029833965	1.0703989915567287	5.0
4197	3.748809	3.7755336766768357	5.175082311350768	5.0	2.1141223118276207	0.8834996145323885	5.0	1.7170342608729052	0.7592296865182427	5.0	0.2877218116534219	0.8326150423981712	5.0	0.6954116523547206	5.143684948270356	5.0	0.26051234774843385	1.0969431355952728	5.0	3.6048466135443435	6.667834645802178	5.0	2.3919398626726225	1.7027771487650762	5.0	2.152587725032672	1.463409373209374	5.0	0.6378103577561446	1.6049217869353989	5.0	0.9979620580133243	6.627380714304056	5.0	0.9476069343282294	1.890530215951605	5.0	1.4120538844247041	0.4848889358689786	5.0			5.0			5.0			5.0	0.7845289476848792	0.3935081607260391	5.0			5.0	0.9746860039750903	0.6102598959627743	5.0			5.0			5.0			5.0	1.399335159791297	0.6065574328183618	5.0			5.0	0.583905999113491	0.576558880945967	5.0			5.0			5.0			5.0	1.1021066661187835	0.5670771348646279	5.0			5.0	3.423789383656516	1.1000124654206522	4.5			5.0			5.0			5.0	1.8655786521102866	1.0933386603117183	5.0			5.0
4270	4.02261238702772			5.0	34.08560266738514	0.9215985434015408	4.5	60.05274139723894	0.8807811013223531	5.0	198.32036680281425	0.8639166461085805	4.5			5.0	5.895807605771443	1.138514585422162	5.0			5.0	28.709171194029327	0.7065915343864786	5.5	64.61835660057787	0.6789400928672032	5.0	178.32987395760483	0.6659850637668108	5.0			5.0	2.1940191131110747	0.7845023331808247	5.0	118.97098238939512	0.4942600393123998	7.5			5.0			5.0			5.0	2.8202435895125952	0.3107174990780702	5.0			5.0	117.54477664745102	0.6342648443763987	6.0			5.0			5.0			5.0			5.0			5.0	98.17199851686559	0.7957156408226848	5.0			5.0			5.0			5.0	2.3896725987381715	0.7908004171488501	5.0			5.0	125.51858152996071	1.328250563768652	5.5			5.0			5.0			5.0	3.245794132830169	1.2446889843943854	5.0			5.0
4282	3.599695	3.9761343043564854	0.9379360881062433	5.0	0.004358145539220626	0.9294546143946568	5.0	1.698556722812713	1.0937567081827329	6.5	4.35436662560869	0.8759674970745831	4.5	0.9044098702636391	0.5894724286299435	5.0	0.9806984593111808	1.1539354353551645	5.0	2.314473089167093	2.6276862981537104	5.0	4.492417671619902	2.214582650387462	5.0	7.572667145587405	1.9032678531502907	5.0	6.74223280730542	2.0873148005025364	5.0	2.394345237810023	2.336014898687795	5.0	1.4227740878287123	2.458768852585763	5.0	2.597630233818557	0.6615331422988706	5.0			5.0			5.0			5.0	0.33424927573203517	0.6575196029948165	5.0			5.0	12.25997129876432	1.6989501590002607	4.5			5.0			5.0			5.0	2.062948250067689	1.6886425828524942	5.0			5.0	3.7763490232104573	0.7363017839972725	5.0			5.0			5.0			5.0	0.25029997988306435	0.7904255094204303	5.0			5.0	6.475636705296246	2.0709359896158777	5.0			5.0			5.0			5.0	0.28682916349617205	1.555982647996552	5.0			5.0
4297	6.712776			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	12.570734992697309	0.8764897567309958	5.0	4.024890872035438	0.5979460937860239	5.0	6.5377678749331585	0.574500528895855	5.0	22.590801683084226	0.5635233600930523	6.0	0.5953251026036148	0.7752634568655075	5.0	1.4606273361705409	0.742355776797662	5.0	16.25619534768906	1.0436575337070604	5.5	5.119405335263134	2.0880427494492704	5.0	9.179949092093196	2.0063302052610767	5.0	28.28103027002481	1.9680469068267448	5.0	1.5839667939230397	0.6560623366794187	5.0	0.2715103913456198	2.5919116999392093	5.0	10.909013460248254	1.443211979384222	5.0			5.0	6.994409592545686	0.9585926636524802	5.0	23.611667940500453	0.8998115551672252	5.0	2.5602492153456504	1.379366325569939	5.0	1.4970774392628525	1.1922968107811542	5.0	14.377535091415927	2.9958322613894297	5.0			5.0	11.052913615336227	1.452688221960745	5.0	29.490169489999047	1.4249691074362358	5.0	4.230476812014448	3.1100607478587476	5.0	1.0798582699609383	1.8766799148963418	5.0
4404	5.763688			5.0			5.0			5.0			5.0			5.0	2.310966537345642	0.0	5.0			5.0			5.0			5.0			5.0			5.0	2.202254262655681	0.0	5.0	22.65148697274586	0.45839541465716116	5.0	8.372153057713538	0.5099238619118484	5.0	16.054624955203376	0.5657858645477742	4.5	44.97814381756295	0.5549532483867093	5.0	1.0682226631359117	0.45567464368253596	5.0	1.1902631557328793	0.6329325356487582	5.0	27.569407882118718	0.7734970914839642	5.0	9.064437523128142	0.9396431431182035	5.0	19.198142526449864	1.0094410945877037	6.5	50.726813936248256	0.8856436401136298	5.0	0.6628823038513052	0.7688042638996471	5.0	2.749556402802527	1.0101233184137886	5.0	22.241632815064538	0.8534149609192702	5.0	9.63918771202694	0.7814927836846242	5.0	15.15692623559147	0.7474444280965896	5.0	45.65258145997973	0.7329244415711745	5.0	0.33034881133433164	0.8481464933665352	5.0	4.85109624825982	0.9688073533584861	5.0	25.507540412310195	1.9002661110300472	5.0	11.043002349036176	1.3934629204293882	5.0	18.496949245877733	1.4042834738169314	5.0	52.26782609718776	1.3133832585822087	5.0	1.5202531439930667	1.8887371456057538	5.0	4.410203567200278	1.729721696477597	5.0
5329	3.5873007444784	9.147991671121835	0.6987742434377925	4.5	7.340463795929073	0.9725059319906924	6.5	5.43356176641956	0.7629596953324901	5.0	13.787082018957028	0.8367103299555526	5.0	0.3731518549394391	0.6945347613751385	5.0	3.071470472761177	0.9858344711666279	4.5	8.699578970398166	1.0770323963233306	5.0	5.7897861172859715	1.383733522463671	6.0	6.1781300127472365	1.3295831049839493	6.5	11.816276108709072	1.0648854476255472	4.5	1.5650388721041768	1.196853162203444	5.0	1.083250239332032	0.9916825039726092	5.0	8.026205925193148	0.6074670079443739	4.5			5.0			5.0			5.0	3.4316550720064574	0.6037814893264267	4.5			5.0	10.328076453224634	0.8671901262180047	5.5			5.0			5.0			5.0	0.9597382019949096	0.7037619675855923	5.0			5.0	9.338134759213101	0.8189246951829561	5.0			5.0			5.0			5.0	2.4512714650529155	0.8139358377569528	5.0			5.0	10.290432195301776	1.252952407644316	5.0			5.0			5.0			5.0	0.5488246165070069	1.3451325069663866	5.0			5.0
5457	4.8631511339788																					5.0	0.87627709002499	1.2016568649547419	5.0	3.472380271454811	1.1546317550991838	5.0	15.745910065032312	1.2407010628241684	5.5			5.0	1.6705585354999297	1.491630613602699	5.0																			9.020243639625377	0.5839420585719401	7.5			5.0	5.930426291716505	1.4136697886909428	6.5	15.58587838102478	1.2402978878981095	5.0	1.173449162581296	0.4495753386242515	5.0			5.0																					5.0			5.0	9.793968865058554	1.7402700991824118	5.5	16.912258468391098	1.6194626895064315	5.0			5.0			5.0
