ID	redshift	Flux (Ha 6563) MAST G235M	F_err(Ha 6563) MAST G235M	Optimal dline (Ha 6563) MAST G235M	Flux (Hb 4861) MAST G235M	F_err(Hb 4861) MAST G235M	Optimal dline (Hb 4861) MAST G235M	Flux ([OIII]4959) MAST G235M	F_err([OIII]4959) MAST G235M	Optimal dline ([OIII]4959) MAST G235M	Flux ([OIII]5007) MAST G235M	F_err([OIII]5007) MAST G235M	Optimal dline ([OIII]5007) MAST G235M	Flux ([NII]6583) MAST G235M	F_err([NII]6583) MAST G235M	Optimal dline ([NII]6583) MAST G235M	Flux (Ha 6563) JADES G235M	F_err(Ha 6563) JADES G235M	Optimal dline (Ha 6563) JADES G235M	Flux (Hb 4861) JADES G235M	F_err(Hb 4861) JADES G235M	Optimal dline (Hb 4861) JADES G235M	Flux ([OIII]4959) JADES G235M	F_err([OIII]4959) JADES G235M	Optimal dline ([OIII]4959) JADES G235M	Flux ([OIII]5007) JADES G235M	F_err([OIII]5007) JADES G235M	Optimal dline ([OIII]5007) JADES G235M	Flux ([NII]6583) JADES G235M	F_err([NII]6583) JADES G235M	Optimal dline ([NII]6583) JADES G235M	Flux (Ha 6563) MAST G395M	F_err(Ha 6563) MAST G395M	Optimal dline (Ha 6563) MAST G395M	Flux (Hb 4861) MAST G395M	F_err(Hb 4861) MAST G395M	Optimal dline (Hb 4861) MAST G395M	Flux ([OIII]4959) MAST G395M	F_err([OIII]4959) MAST G395M	Optimal dline ([OIII]4959) MAST G395M	Flux ([OIII]5007) MAST G395M	F_err([OIII]5007) MAST G395M	Optimal dline ([OIII]5007) MAST G395M	Flux ([NII]6583) MAST G395M	F_err([NII]6583) MAST G395M	Optimal dline ([NII]6583) MAST G395M	Flux (Ha 6563) JADES G395M	F_err(Ha 6563) JADES G395M	Optimal dline (Ha 6563) JADES G395M	Flux (Hb 4861) JADES G395M	F_err(Hb 4861) JADES G395M	Optimal dline (Hb 4861) JADES G395M	Flux ([OIII]4959) JADES G395M	F_err([OIII]4959) JADES G395M	Optimal dline ([OIII]4959) JADES G395M	Flux ([OIII]5007) JADES G395M	F_err([OIII]5007) JADES G395M	Optimal dline ([OIII]5007) JADES G395M	Flux ([NII]6583) JADES G395M	F_err([NII]6583) JADES G395M	Optimal dline ([NII]6583) JADES G395M	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H
3184	3.46762	6.70070737675228	0.10903605673204164	4.5	3.0318845949266193	0.16456005585717984	6.5	6.45397929004304	0.1443406801536495	6.0	15.965034989054265	0.1551059884288836	6.5	0.2501073983264673	0.10836847507263989	5.0	4.75545803818744	0.12014683592646526	5.5	1.6430173511947184	0.0919643648325323	5.0	3.8390301867212013	0.08836547193290105	5.0	9.918833966472278	0.08667934782212375	5.5	0.10740086249417943	0.1068106185093693	5.0	6.460294953944474	0.163083721944056	6.0			5.0			5.0			5.0	0.25081304812719524	0.13234064236763343	5.0	5.740484078438267	0.10190344638026191	6.5			5.0			5.0			5.0	0.12433784962625705	0.07161944852942118	5.0	7.149558783687318	0.1447676470041716	5.0			5.0			5.0			5.0	0.3057621906272714	0.15540913035649492	5.0	6.125878699129704	0.1428141295290281	5.5			5.0			5.0			5.0	0.06708600567448054	0.13277988922176	5.0
3334	6.70593			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	0.3397157973645652	0.09523639966870076	5.0	0.014340392623493545	0.05651022818268406	5.0	0.14881131266787476	0.04856501697591341	5.0	0.5248859975472312	0.04763833549871591	5.0	0.04258780770496504	0.05986098370302546	5.0	0.3844003749445763	0.09694213535501943	5.0	0.2600682546494495	0.05982827966969728	5.5	0.4072787112814163	0.057486986155722355	5.0	1.2784911838613637	0.05043680503110461	5.0	0.04651034102563659	0.10772702998212068	5.0																0.4089138172424748	0.15519762439050802	5.0	0.4006554369672259	0.045439938151083166	5.5			5.0			5.0	0.23472774938380975	0.1542560362438814	5.0
3968	5.76847043540196			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	0.2988360467059196	0.051700685146583276	5.5	0.14192357847330214	0.06292159310349099	5.0	0.21038226923507816	0.06113563228751078	5.0	0.6976414372828157	0.07656524385068021	5.5	0.055255787334401056	0.05138872186532679	5.0	0.21636910341011725	0.0629663582072256	5.0	0.12112999528689986	0.10045879256749204	8.0	0.28582665505124555	0.06319207072888443	5.0	0.811540772630919	0.08002395203761678	5.5	0.03923917638994539	0.0625843396244543	5.0	0.3981163636715354	0.08241255641057268	5.0	0.2482433274411986	0.08905185387373005	5.0	0.2568883659044384	0.0855141058182266	5.0	0.7701052561987628	0.08447124317454882	5.0	0.01102668465213808	0.06376339302879791	5.0	0.40135155746638157	0.12996215603608496	5.0	0.08675718880796156	0.11132411464615023	5.0	0.1854128296258132	0.10696760583444627	5.0	0.8936325655417245	0.10492652966154671	5.0	0.07562695584776204	0.12917367215231076	5.0
4197	3.748809	0.37755336766768355	0.5175082311350768	5.0	0.21141223118276206	0.08834996145323884	5.0	0.17170342608729053	0.07592296865182428	5.0	0.028772181165342192	0.08326150423981712	5.0	0.06954116523547206	0.5143684948270356	5.0	0.36048466135443435	0.6667834645802179	5.0	0.23919398626726224	0.17027771487650764	5.0	0.2152587725032672	0.14634093732093742	5.0	0.06378103577561448	0.16049217869353988	5.0	0.09979620580133243	0.6627380714304056	5.0	0.1412053884424704	0.048488893586897855	5.0			5.0			5.0			5.0	0.07845289476848794	0.03935081607260391	5.0	0.09746860039750903	0.06102598959627742	5.0			5.0			5.0			5.0	0.1399335159791297	0.06065574328183618	5.0	0.058390599911349095	0.057655888094596694	5.0			5.0			5.0			5.0	0.11021066661187834	0.05670771348646279	5.0	0.3423789383656516	0.11000124654206522	4.5			5.0			5.0			5.0	0.18655786521102863	0.10933386603117184	5.0
4270	4.02261238702772			5.0	3.408560266738514	0.09215985434015407	4.5	6.005274139723894	0.08807811013223531	5.0	19.832036680281426	0.08639166461085804	4.5			5.0			5.0	2.8709171194029324	0.07065915343864786	5.5	6.461835660057787	0.06789400928672033	5.0	17.832987395760483	0.06659850637668108	5.0			5.0	11.897098238939511	0.04942600393123999	7.5			5.0			5.0			5.0	0.2820243589512595	0.031071749907807027	5.0	11.754477664745101	0.06342648443763986	6.0			5.0			5.0			5.0			5.0	9.817199851686558	0.07957156408226848	5.0			5.0			5.0			5.0	0.23896725987381717	0.079080041714885	5.0	12.551858152996072	0.1328250563768652	5.5			5.0			5.0			5.0	0.3245794132830169	0.12446889843943854	5.0
4282	3.599695	0.3976134304356485	0.09379360881062432	5.0	0.00043581455392206265	0.09294546143946568	5.0	0.16985567228127127	0.10937567081827329	6.5	0.43543666256086905	0.08759674970745832	4.5	0.09044098702636391	0.058947242862994347	5.0	0.23144730891670928	0.2627686298153711	5.0	0.4492417671619902	0.2214582650387462	5.0	0.7572667145587406	0.19032678531502908	5.0	0.674223280730542	0.20873148005025363	5.0	0.23943452378100233	0.23360148986877943	5.0	0.25976302338185575	0.06615331422988706	5.0			5.0			5.0			5.0	0.03342492757320352	0.06575196029948165	5.0	1.225997129876432	0.1698950159000261	4.5			5.0			5.0			5.0	0.20629482500676888	0.16886425828524942	5.0	0.37763490232104574	0.07363017839972724	5.0			5.0			5.0			5.0	0.025029997988306435	0.07904255094204303	5.0	0.6475636705296245	0.20709359896158774	5.0			5.0			5.0			5.0	0.028682916349617203	0.1555982647996552	5.0
4297	6.712776			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	1.2570734992697308	0.08764897567309958	5.0	0.4024890872035437	0.05979460937860239	5.0	0.6537767874933159	0.0574500528895855	5.0	2.2590801683084223	0.056352336009305226	6.0	0.05953251026036148	0.07752634568655074	5.0	1.6256195347689062	0.10436575337070603	5.5	0.5119405335263134	0.20880427494492704	5.0	0.9179949092093196	0.20063302052610768	5.0	2.828103027002481	0.19680469068267448	5.0	0.15839667939230398	0.06560623366794187	5.0	1.0909013460248254	0.1443211979384222	5.0			5.0	0.6994409592545687	0.09585926636524802	5.0	2.3611667940500456	0.08998115551672252	5.0	0.2560249215345651	0.13793663255699393	5.0	1.4377535091415927	0.29958322613894295	5.0			5.0	1.1052913615336226	0.1452688221960745	5.0	2.9490169489999047	0.14249691074362358	5.0	0.4230476812014448	0.3110060747858748	5.0
4404	5.763688			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	2.265148697274586	0.04583954146571612	5.0	0.8372153057713538	0.05099238619118484	5.0	1.6054624955203376	0.05657858645477744	4.5	4.497814381756294	0.05549532483867093	5.0	0.10682226631359117	0.045567464368253596	5.0	2.756940788211872	0.07734970914839641	5.0	0.906443752312814	0.09396431431182037	5.0	1.9198142526449864	0.10094410945877037	6.5	5.0726813936248245	0.08856436401136299	5.0	0.06628823038513053	0.0768804263899647	5.0	2.224163281506453	0.08534149609192701	5.0	0.9639187712026939	0.07814927836846242	5.0	1.515692623559147	0.07474444280965896	5.0	4.565258145997973	0.07329244415711746	5.0	0.03303488113343316	0.08481464933665353	5.0	2.5507540412310195	0.1900266111030047	5.0	1.1043002349036175	0.13934629204293883	5.0	1.8496949245877734	0.14042834738169313	5.0	5.226782609718776	0.1313383258582209	5.0	0.15202531439930667	0.18887371456057536	5.0
5329	3.5873007444784	0.9147991671121833	0.06987742434377926	4.5	0.7340463795929072	0.09725059319906924	6.5	0.543356176641956	0.076295969533249	5.0	1.3787082018957026	0.08367103299555527	5.0	0.03731518549394391	0.06945347613751385	5.0	0.8699578970398166	0.10770323963233304	5.0	0.5789786117285972	0.1383733522463671	6.0	0.6178130012747236	0.13295831049839493	6.5	1.1816276108709072	0.10648854476255472	4.5	0.1565038872104177	0.11968531622034441	5.0	0.8026205925193148	0.0607467007944374	4.5			5.0			5.0			5.0	0.3431655072006457	0.06037814893264268	4.5	1.0328076453224635	0.08671901262180047	5.5			5.0			5.0			5.0	0.09597382019949097	0.07037619675855922	5.0	0.9338134759213101	0.08189246951829561	5.0			5.0			5.0			5.0	0.24512714650529152	0.08139358377569529	5.0	1.0290432195301777	0.1252952407644316	5.0			5.0			5.0			5.0	0.054882461650700695	0.13451325069663866	5.0
5457	4.8631511339788																		5.0	0.087627709002499	0.12016568649547418	5.0	0.3472380271454811	0.11546317550991836	5.0	1.5745910065032314	0.12407010628241684	5.5			5.0																0.9020243639625377	0.058394205857194015	7.5			5.0	0.5930426291716504	0.14136697886909427	6.5	1.558587838102478	0.12402978878981095	5.0	0.11734491625812961	0.044957533862425146	5.0																		5.0			5.0	0.9793968865058554	0.17402700991824116	5.5	1.69122584683911	0.16194626895064312	5.0			5.0
