ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Optimal dline (Ha) MAST	Optimal dline (Ha) JADES	Optimal dline (Hb) MAST	Optimal dline (Hb) JADES	Optimal dline ([OIII]4959) MAST	Optimal dline ([OIII]4959) JADES	Optimal dline ([OIII]5007) MAST	Optimal dline ([OIII]5007) JADES	Optimal dline ([NII]6583) MAST
3184	3.46762	6.70070737675228	0.10717765317376281	4.75545803818744	0.1159885024505474	3.0318845949266193	0.12119417695044633	1.6430173511947184	0.08239278940881474	6.45397929004304	0.14092973975732323	3.8390301867212013	0.08566460221603475	15.795758479645063	0.1382406234437399	9.822032237208134	0.07515872946154231	0.2501073983264673	0.8051303542704402	4.5	5.5	6.5	5.0	6.0	5.0	6.0	5.0	5.0
3334	6.70593																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3968	5.76847043540196																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
4197	3.748809	0.37755336766768355	0.5090252518411814	0.36048466135443435	0.6818749268425919	0.21141223118276206	0.08045595693296483	0.23919398626726224	0.18309457858553801	0.17170342608729053	0.07493572791709556	0.2152587725032672	0.14513089079652547	0.028772181165342192	0.08217883913754363	0.06378103577561448	0.15916512006880587	0.06954116523547206	0.4986997170941095	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
4270	4.02261238702772					3.408560266738514	0.2186094519194301	2.8709171194029324	0.07609848532163349	7.02393155489462	0.15126537128637346	6.461835660057787	0.07152712916002665	19.832036680281426	0.1354418101256531	17.832987395760483	0.0701623017629253			5.0	5.0	4.5	5.5	6.0	5.0	4.5	5.0	5.0
4282	3.599695	0.3976134304356485	0.09930889541301054	0.23144730891670928	0.24587048306205436	0.00043581455392206265	0.10722192291246797	0.4492417671619902	0.20457413890759357	0.3045979091255489	0.08871065396075778	0.7572667145587406	0.1888257059020857	0.43543666256086905	0.08701552197480762	0.674223280730542	0.20708524551201968	0.13460679747005705	0.10695552521643631	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
4297	6.712776																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
4404	5.763688																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5329	3.5873007444784	0.9147991671121833	0.06490214238543611	0.8699578970398166	0.08764637073250772	0.7340463795929072	0.08900135578466123	0.4440355759047866	0.09360802314444751	0.543356176641956	0.07344536339005331	0.43320969415901517	0.11489587596199745	1.3787082018957026	0.08054487623886421	1.5286141761205687	0.14909274084289698	0.03731518549394391	0.10466454221073673	4.5	5.0	6.5	5.0	5.0	5.0	5.0	7.5	5.0
5457	4.8631511339788							0.087627709002499	0.10163414311552131			0.3472380271454811	0.11038481297997196			1.4307607761021204	0.10827853220582577				5.0		5.0		5.0		5.0	
5759	5.05189382127941					0.10348437692287558	0.27432802630821845	0.25080763058089917	0.17238224727611687											5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
6002	5.93685818347379																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
6246	5.56159788939357																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
6384	5.61541238216689																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
7507	4.04428024657048					1.015787697839427	0.10443740124451553	0.725620127613499	0.09843796024944318	1.534767586420552	0.08659365250717774	1.2510936491064877	0.11434822562621602	3.7743005112088825	0.09303608142267253	3.0339015619636513	0.10032460470162154			5.0	5.0	6.0	5.0	5.5	5.0	6.0	5.0	5.0
7624	4.845									0.045636316465540186	0.152377262472111	0.24266850971201684	0.21580817724225387	0.29107849591816914	0.13642618593435413	0.639045738253953	0.1932459084092186			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
7762	4.14863310108243					1.1544145265920625	0.042677111159390525	1.149283019749152	0.052487858419161745	2.1556856716880843	0.04131359737110912	2.1559242839272255	0.05813154058383599	6.081995318662637	0.04052076763478415	5.996375334719064	0.06246481951275604			5.0	5.0	5.5	4.5	5.0	5.0	5.0	6.0	5.0
7809	3.57819206358422					0.8826060261810468	0.1462457095283591	1.3734912476413064	0.19289656543377176	3.283180521593412	0.16657509258597528	2.642687289607984	0.1437911303678477	8.126396287207577	0.1826595726042086	6.371077135560766	0.15769580414082443	0.2700154284406813	0.08033928277197834	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	8.0
7892	4.22872754610498					0.8177370095123334	0.05334838458218562	0.8041356196415623	0.0668116921988208	1.7837044720321606	0.047125499124988306	1.7948532086844655	0.05148808798807161	4.828092809392365	0.046224217650661585	4.782980504011876	0.05050563064725967			5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.5	5.0
7938	4.80631123887867					1.0175755526922883	0.08069677244442773	1.035833081862431	0.1285615882015096	2.2086646939641428	0.09092433901549118	2.5275525088493858	0.12967447540341448	6.296471883466911	0.09769477471507029	7.432191381444752	0.12720012366003416			5.0	5.0	5.0	5.0	5.0	5.0	5.5	5.0	5.0
8013	8.47315																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
8079	7.258982																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
8083	4.6487198664651					2.5185827564809453	0.06362282383034143	2.678046204133758	0.09803735646215955											5.0	5.0	4.5	5.0	5.0	5.0	5.0	5.0	5.0
8113	4.90277103561231																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
9422	5.935895																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
9452	5.12243857379367					0.28203834602613603	0.17350744242521052	0.010863775208269328	0.27038864111982963	0.8933430891810541	0.19506980554973663	0.18365015122856881	0.3706464106842385	2.7323321513690284	0.20664718416100877	3.386297433232642	0.36357401197523564			5.0	5.0	5.0	5.0	5.0	5.0	5.5	5.0	5.0
9743	5.44012039584156					0.04465462229304335	0.15532751931793404	0.20458831484187764	0.27192929500153434											5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
16625	6.630648																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
16745	5.56655234405774																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
17072	4.70200977971638					0.04871963048674992	0.0686250050274035	0.10868542934645928	0.08190666878934638	0.26448288749945303	0.0682212757698392	0.08666270432738213	0.07337691844429943	0.6659741764710592	0.0671634878903198	0.6912100635329192	0.07197679474602356			5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.5	5.0
17260	4.88512714601353					0.05072622525003773	0.05086140697204952	0.020391102976460962	0.07988048469812245	0.010633835297518152	0.06957028675334416	0.15593100920027927	0.07079946807961607	0.2715248210620623	0.06228452181183033	0.22138747583768933	0.07607704786037076			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
17566	6.101534																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
17777	4.13366013096712					0.17454880995511543	0.0644770966926165	0.32715350910383556	0.08526741207091611	0.5909286557396543	0.047252965932001754	0.6311780956274965	0.07805179412568485	1.6400775681204003	0.04634610311217169	1.7266476003841906	0.07656246793199374			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
18028	3.73094591607022	0.543460406197157	0.08868609095529328	0.9164026362366625	0.1340068757856071	0.19603060081122223	0.0881620808452276	0.5020692817809129	0.10178005698313725	0.25248286391375024	0.08961236082592784	0.21292078106811388	0.1059879506709032	0.838766382950462	0.07860914202924543	0.705067871214676	0.10396556754803563	0.14571340890012266	0.1218682898469156	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
18090	4.77562372049334					1.5487508699799655	0.13584710336367545	1.7014086241875794	0.1321014679715317	3.6958836480598767	0.11345947212766921	3.7203122566835924	0.14323299160445163	11.58790370827182	0.12189090679292074	11.697279523889605	0.14049992635480346			5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.5	5.0
18846	6.335054																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
18970	3.72458828704365	6.233202744784901	0.1129361887360916	10.891855387114022	0.25137215658272205	2.226761694078446	0.11099809767960844	3.4907230150720077	0.2852248169415071	3.3720911174423076	0.1597783530717578	5.852834262145341	0.27022922369653457	9.222470324765116	0.14016745694990046	14.485734983652174	0.2650729109473903	0.3989603406635265	0.6787214659581016	5.5	5.5	4.5	5.0	5.0	6.5	4.5	6.0	5.0
18976	6.327052																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
19342	5.974287																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
19519	3.60450973158305	3.64805083067548	0.063871550185892	3.466046337495895	0.06863599416358773	1.384451052847953	0.04597388613986673	1.3349578418267316	0.06825490089421522	2.6264319956494773	0.046193231200688	2.3746580654442293	0.07859104348680099	7.488289593044135	0.04530671201049218	6.901324347962137	0.06895266916234406	0.11991601996183787	0.45692017302151544	6.0	5.0	4.5	5.0	4.5	6.0	5.0	5.0	5.0
19606	5.88913558713673																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
20961	7.04457065169479																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
22251	5.79838391626917																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10000626	4.46468607001795					0.23755750674385362	0.04964018849094417	0.33815426682218486	0.0714032299114253	0.19550639755665156	0.051197627170339335	0.1769953337915551	0.07105434991802803	1.0588556123615156	0.05941530928147973	1.024887316567594	0.07635092926576022			5.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0
10001587	3.43070237834676	0.20946199154142653	0.04959981101964964	0.20413861956134807	0.07402801197810888	0.02485168937229591	0.05093157345948528	0.009112287503141728	0.04792788803332247	0.21593561529084404	0.03312120489843697	0.19381275090069439	0.042860392330597415	0.392724113097471	0.045945395634221155	0.2096267206579933	0.042042562251418	0.12847959803404643	0.06524374192047006	5.0	5.0	5.0	5.0	5.0	5.0	8.5	5.0	5.0
10001892	4.770522					0.0677890940932699	0.07924364577157623	0.018085145284090505	0.102101775655793	0.013620495183298605	0.07399250403230437	0.08660164126384128	0.0984533507804622	0.5105976401876412	0.07256571234785773	0.2493503483572385	0.09657473728009024			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10005113	5.820838																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10005217	4.8883230178694					0.7681862020993211	0.044219643029263386	0.9725401636754983	0.06167329994327586	1.0386759273350226	0.05746676943968315	1.20840813848255	0.08392445508874023	3.23332281277743	0.05635429564464772	3.808738428195167	0.08232307115321039			5.0	5.0	4.5	4.5	5.0	5.0	5.0	5.5	5.0
10005447	6.62257640301802																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10009506	3.59928686455817	4.272490659061275	0.06384857346221619	5.106128474279589	0.1096586097633378	1.8797954489187585	0.05415283047096386	1.841887582509871	0.06879328265103611	3.7249286394152694	0.057666069021695424	3.807845952974117	0.0744443775117974	10.875546802589689	0.05656699228522339	10.60934859999405	0.07302388535471781	0.0874982681481267	0.5924077948771328	6.5	5.5	5.5	5.0	5.0	4.5	5.5	4.5	5.0
10009693	6.28599376348805																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10009848	4.37					0.05661113720945874	0.1033596449571695	0.20063406499082345	0.12675790871941345	0.09689855993534105	0.08733379116918717	0.152784565035995	0.12956876252508975	0.08023571299716901	0.08565386367805261	0.12933804582425742	0.12709642791614154			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013545	4.03498294164463					1.0891786462708568	0.0826016834054799	1.2426991880896419	0.10213524885030602	2.4325047225711423	0.07275337974211128	2.6987816880520565	0.08960511465389485	6.051267350129178	0.07135852140932314	8.186567173489651	0.08023709759598842			5.0	5.0	5.5	5.0	5.5	5.5	6.0	4.5	5.0
10013609	6.928894																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013618	5.94372301071691																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013620	5.91753186734937																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013704	5.919825																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013905	7.197212																			5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10015338	5.07627227996806					0.8424923038524873	0.20561690482991585	0.9360305256596105	0.26697234320570246	1.5419885094415815	0.20368070639223596	2.441636435252527	0.27263474070150734	4.8436380433653525	0.21576091441837633	5.692847524652538	0.26743252766863007			5.0	5.0	5.0	5.0	4.5	5.0	5.5	5.0	5.0
10016186	3.92792643507394					1.014572159076827	0.04960159772069264	1.2963587772828735	0.0879062188863928	1.789593544445636	0.06626668059862176	1.7683103994262357	0.08939763740207361	4.9917767638411705	0.07119844348844889	5.197122545999472	0.0876918182786744			5.0	5.0	5.0	5.5	5.5	5.0	6.0	5.0	5.0
10016374	5.50325569707072							0.6414707788049613	0.07491711907495034											5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
