ID	redshift	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H
3184	3.46762	7.149558783687318	0.1447676470041716	5.0			5.0			5.0			5.0	0.3057621906272714	0.15540913035649492	5.0	6.125878699129704	0.1428141295290281	5.5			5.0			5.0			5.0	0.06708600567448054	0.13277988922176	5.0
3334	6.70593																0.4089138172424748	0.15519762439050802	5.0	0.4006554369672259	0.045439938151083166	5.5			5.0			5.0	0.23472774938380975	0.1542560362438814	5.0
3968	5.76847043540196	0.3981163636715354	0.08241255641057268	5.0	0.2482433274411986	0.08905185387373005	5.0	0.2568883659044384	0.0855141058182266	5.0	0.7701052561987628	0.08447124317454882	5.0	0.29600111604197266	0.11012399086335987	8.5	0.40135155746638157	0.12996215603608496	5.0	0.08675718880796156	0.11132411464615023	5.0	0.1854128296258132	0.10696760583444627	5.0	0.8936325655417245	0.10492652966154671	5.0	0.07562695584776204	0.12917367215231076	5.0
4197	3.748809	0.058390599911349095	0.057655888094596694	5.0			5.0			5.0			5.0	0.11021066661187834	0.05670771348646279	5.0	0.3423789383656516	0.11000124654206522	4.5			5.0			5.0			5.0	0.18655786521102863	0.10933386603117184	5.0
4270	4.02261238702772	9.817199851686558	0.07957156408226848	5.0			5.0			5.0			5.0	0.23896725987381717	0.079080041714885	5.0	12.551858152996072	0.1328250563768652	5.5			5.0			5.0			5.0	0.765572046478088	0.1814430398011934	11.0
4282	3.599695	0.37763490232104574	0.07363017839972724	5.0			5.0			5.0			5.0	0.025029997988306435	0.07904255094204303	5.0	0.6475636705296245	0.20709359896158774	5.0			5.0			5.0			5.0	0.5931405303354572	0.2910976984282619	9.5
4297	6.712776	1.0909013460248254	0.1443211979384222	5.0			5.0	0.6994409592545687	0.09585926636524802	5.0	2.3611667940500456	0.08998115551672252	5.0	0.2560249215345651	0.13793663255699393	5.0	1.4377535091415927	0.29958322613894295	5.0			5.0	1.1052913615336226	0.1452688221960745	5.0	2.9490169489999047	0.14249691074362358	5.0	0.4230476812014448	0.3110060747858748	5.0
4404	5.763688	2.224163281506453	0.08534149609192701	5.0	0.9639187712026939	0.07814927836846242	5.0	1.515692623559147	0.07474444280965896	5.0	4.565258145997973	0.07329244415711746	5.0	0.03303488113343316	0.08481464933665353	5.0	2.5507540412310195	0.1900266111030047	5.0	1.1043002349036175	0.13934629204293883	5.0	1.8496949245877734	0.14042834738169313	5.0	5.226782609718776	0.1313383258582209	5.0	0.15202531439930667	0.18887371456057536	5.0
5329	3.5873007444784	0.9338134759213101	0.08189246951829561	5.0			5.0			5.0			5.0	0.24512714650529152	0.08139358377569529	5.0	1.0290432195301777	0.1252952407644316	5.0			5.0			5.0			5.0	0.054882461650700695	0.13451325069663866	5.0
5457	4.8631511339788																		5.0			5.0	0.9793968865058554	0.17402700991824116	5.5	1.69122584683911	0.16194626895064312	5.0			5.0
5759	5.05189382127941	1.1501956209483466	0.14314818087946735	4.5	0.2982609401808707	0.20712505673960663	5.0	1.093624924571097	0.18754922311892777	4.5	2.7463477160043888	0.1839381151171567	4.5	0.6321437179146082	0.2132492548902556	11.0	1.2306287453223745	0.20117564802070192	7.0	0.12757653305253697	0.17849813679986395	5.0	0.7983989407722073	0.17151286942711583	5.0	2.378159967596174	0.18599652676476655	6.0	0.36625506098335153	0.22865741624835872	9.0
6002	5.93685818347379	0.8579057625423234	0.042502188388979074	5.0	0.3057280347356788	0.03914534403058513	5.0	0.48191831020917214	0.03583662137541971	5.0	1.5453078589396363	0.03513795525899304	5.0	0.007228193805695131	0.04406015956213937	5.0	1.1278378760343741	0.0929335257827061	5.0	0.4078379788310535	0.06133968719571135	5.0	0.5965553331854281	0.058939246926096804	5.0	1.7743243762268568	0.055124069769028984	5.0	0.07352011709751166	0.09236969559109726	5.0
6246	5.56159788939357	0.5852249603028375	0.07361435872782876	5.0	0.14478747289286747	0.08616298894010267	5.0	0.5701479990524433	0.08273571679379159	5.0	0.8717834073507142	0.08147749698488276	5.0	0.08562511729291462	0.0771053411910581	5.0	0.8462406583395675	0.057800525730969575	4.5	0.3659125089625819	0.05990721484867921	5.0	0.487166732654306	0.05756283232020724	5.0	1.2847425084880086	0.056464461233209126	5.0	0.12945373409041158	0.06055745738365271	5.0
6384	5.61541238216689	0.4005816909961647	0.11085902484788702	5.0	0.09933450058699615	0.08080945161315202	5.0	0.30103211366256327	0.07759236479960545	5.0	0.43496045840796704	0.07608496452402438	5.0	0.024649379861913984	0.11669484056385027	5.0	0.16984702110093497	0.3879879973392786	5.0	0.2673118374276736	0.24662217820422147	5.0	0.14616186604373416	0.23697097463596542	5.0	0.46997394478847443	0.2324492710208195	5.0	0.19045915918222509	0.38563406376095805	5.0
7507	4.04428024657048																2.5092150432501046	0.14924995277551156	5.0			5.0			5.0			5.0	0.1341874402481997	0.14834444931201538	5.0
7624	4.845	0.11500610861183416	0.07953909871941278	5.0			5.0	0.09180656086803764	0.11024569339881433	5.0	0.30226738412394005	0.1445817547861126	9.0	0.07941680528872469	0.07452025151362783	5.0	0.23869523416679486	0.16376866933028725	5.0			5.0	0.02225592348620112	0.21628593450056108	5.0	0.8622647328046789	0.21215892741267778	5.0	0.012769806163975857	0.16277508042434158	5.0
7762	4.14863310108243	3.2369121127838842	0.03923587877903506	4.5			5.0			5.0			5.0	0.11744591621571432	0.038996851288280676	4.5	3.7165609331840903	0.07421522018250183	5.0			5.0			5.0			5.0	0.280101627522132	0.07823954926106955	5.5
7809	3.57819206358422	3.805220667204183	0.18962270793509908	5.5			5.0			5.0			5.0	0.2166890285864118	0.1762786050408848	5.0	4.753397362054512	0.3088923646863199	5.5			5.0			5.0			5.0	0.9733348890479424	0.43418945285175664	11.5
7892	4.22872754610498	2.502216699684451	0.019664972993565306	5.0			5.0			5.0			5.0	0.0502225492417123	0.013819646247765903	6.5	2.8801061139736923	0.030018513129555183	5.0			5.0			5.0			5.0	0.04603117768233576	0.021097513699288282	5.5
7938	4.80631123887867	2.4636070538840684	0.048274944093461634	4.5			5.0	0.8936805978466746	0.03032053670943262	5.0	6.7539869546204265	0.04205501096245533	4.5	0.022863840355565018	0.050881283135336165	5.0	3.3614285814732376	0.0972896599996737	5.0			5.0	2.7510811298280884	0.13808560407852988	5.0	7.742146509266282	0.13545075744337018	5.0	0.09946841896277334	0.10256520330219132	5.0
8013	8.47315			5.0	0.09493404734158521	0.08477438847031844	5.0	0.40146709330877534	0.08125378853680547	5.0	0.821579962043472	0.08208656526877152	5.0			5.0			5.0	0.24487408692573934	0.18865559643375554	5.0	0.6926337107909162	0.17512619302196028	5.0	1.2059963213668494	0.1778139183763604	5.0			5.0
8079	7.258982			5.0	0.0988778764505558	0.05835836047715805	5.0	0.09446424128564448	0.05828440954547224	5.0	0.002913138569329569	0.05488968126338131	5.0			5.0			5.0	0.10804177755905436	0.1256163034924787	5.0	0.15813237269353753	0.1256290535598997	5.0	0.030387990228534785	0.11839737361734068	5.0			5.0
8083	4.6487198664651																9.211074891236725	0.10823221859783458	5.0			5.0			5.0			5.0	0.6414169811741921	0.11892926834706863	6.0
8113	4.90277103561231	1.4689024517728302	0.06145852158713354	5.0			5.0	1.187298965258403	0.10112425811806566	4.5	3.8317412515511333	0.09917071050070721	4.5	0.18595650178967424	0.10380915308694301	14.5	1.5657404652908953	0.13628660766753437	5.0	0.21716372900074965	0.053447430748793844	5.0	1.1487310179557797	0.10894219358895393	5.0	4.074291697827218	0.10686343980341007	5.0	0.046671527692482666	0.12771268005555736	5.0
9422	5.935895	4.176010782519154	0.053265680662037906	4.5	1.6434838673828769	0.02085021530167283	5.0	3.1330394740735974	0.02099328267192209	5.0	9.29482762618837	0.019626637136021693	4.5	0.04636482145583448	0.05259241297919892	5.0	5.46377215284496	0.08505297125361069	4.5	1.9354122296644942	0.0317976611995541	5.0	4.059619132548715	0.029131433817871404	4.5	10.796394555541903	0.02857556949816259	4.5	0.09981126286253507	0.08453695259748624	5.0
