ID	redshift	Flux (Ha 6563) MAST G395M	F_err(Ha 6563) MAST G395M	Optimal dline (Ha 6563) MAST G395M	Flux (Hb 4861) MAST G395M	F_err(Hb 4861) MAST G395M	Optimal dline (Hb 4861) MAST G395M	Flux ([OIII]4959) MAST G395M	F_err([OIII]4959) MAST G395M	Optimal dline ([OIII]4959) MAST G395M	Flux ([OIII]5007) MAST G395M	F_err([OIII]5007) MAST G395M	Optimal dline ([OIII]5007) MAST G395M	Flux ([NII]6583) MAST G395M	F_err([NII]6583) MAST G395M	Optimal dline ([NII]6583) MAST G395M	Flux (Ha 6563) JADES G395M	F_err(Ha 6563) JADES G395M	Optimal dline (Ha 6563) JADES G395M	Flux (Hb 4861) JADES G395M	F_err(Hb 4861) JADES G395M	Optimal dline (Hb 4861) JADES G395M	Flux ([OIII]4959) JADES G395M	F_err([OIII]4959) JADES G395M	Optimal dline ([OIII]4959) JADES G395M	Flux ([OIII]5007) JADES G395M	F_err([OIII]5007) JADES G395M	Optimal dline ([OIII]5007) JADES G395M	Flux ([NII]6583) JADES G395M	F_err([NII]6583) JADES G395M	Optimal dline ([NII]6583) JADES G395M
3184	3.46762	6.460294953944474	0.163083721944056	6.0			5.0			5.0			5.0	0.76249966864319	0.22923847869240235	10.5	5.740484078438267	0.10190344638026191	6.5			5.0			5.0			5.0	0.49061757987334115	0.12404852366301224	10.5
3334	6.70593	0.3397157973645652	0.09523639966870076	5.0	0.014340392623493545	0.05651022818268406	5.0	0.14881131266787476	0.04856501697591341	5.0	0.5248859975472312	0.04763833549871591	5.0	0.17186811986235234	0.10369835533478028	6.0	0.3844003749445763	0.09694213535501943	5.0	0.2600682546494495	0.05982827966969728	5.5	0.4072787112814163	0.057486986155722355	5.0	1.2784911838613637	0.05043680503110461	5.0	0.04651034102563659	0.10772702998212068	5.0
3968	5.76847043540196	0.2988360467059196	0.051700685146583276	5.5	0.14192357847330214	0.06292159310349099	5.0	0.21038226923507816	0.06113563228751078	5.0	0.6976414372828157	0.07656524385068021	5.5	0.055255787334401056	0.05138872186532679	5.0	0.21636910341011725	0.0629663582072256	5.0	0.12112999528689986	0.10045879256749204	8.0	0.28582665505124555	0.06319207072888443	5.0	0.811540772630919	0.08002395203761678	5.5	0.03923917638994539	0.0625843396244543	5.0
4197	3.748809	0.1412053884424704	0.048488893586897855	5.0			5.0			5.0			5.0	0.14471610656173675	0.05565045778032228	6.0	0.09746860039750903	0.06102598959627742	5.0			5.0			5.0			5.0	0.029095593388370304	0.10505882913500748	10.5
4270	4.02261238702772	11.897098238939511	0.04942600393123999	7.5			5.0			5.0			5.0	0.6228046616819624	0.043937704128839565	5.5	11.754477664745101	0.06342648443763986	6.0			5.0			5.0			5.0	0.643749773042779	0.07048273452666598	7.5
4282	3.599695	0.25976302338185575	0.06615331422988706	5.0			5.0			5.0			5.0	0.03342492757320352	0.06575196029948165	5.0	1.225997129876432	0.1698950159000261	4.5			5.0			5.0			5.0	0.20629482500676888	0.16886425828524942	5.0
4297	6.712776	1.2570734992697308	0.08764897567309958	5.0	0.4024890872035437	0.05979460937860239	5.0	0.6537767874933159	0.0574500528895855	5.0	2.2590801683084223	0.056352336009305226	6.0	0.05953251026036148	0.07752634568655074	5.0	1.6256195347689062	0.10436575337070603	5.5	0.5119405335263134	0.20880427494492704	5.0	0.9179949092093196	0.20063302052610768	5.0	2.828103027002481	0.19680469068267448	5.0	0.2568111629431434	0.12273802441100172	8.0
4404	5.763688	2.265148697274586	0.04583954146571612	5.0	0.8372153057713538	0.05099238619118484	5.0	1.6054624955203376	0.05657858645477744	4.5	4.497814381756294	0.05549532483867093	5.0	0.10682226631359117	0.045567464368253596	5.0	2.756940788211872	0.07734970914839641	5.0	0.906443752312814	0.09396431431182037	5.0	1.9198142526449864	0.10094410945877037	6.5	5.0726813936248245	0.08856436401136299	5.0	0.6057908765244904	0.1274917640290421	14.5
5329	3.5873007444784	0.8026205925193148	0.0607467007944374	4.5			5.0			5.0			5.0	0.3431655072006457	0.06037814893264268	4.5	1.0328076453224635	0.08671901262180047	5.5			5.0			5.0			5.0	0.30375171026695147	0.09952697192418612	6.5
5457	4.8631511339788																0.9020243639625377	0.058394205857194015	7.5			5.0	0.5930426291716504	0.14136697886909427	6.5	1.558587838102478	0.12402978878981095	5.0	0.3703552891219911	0.0778687328327212	13.0
5759	5.05189382127941	1.2886922429851553	0.07170524360478582	5.5	0.4393839766655531	0.11064849310295019	5.0	0.8887490399530298	0.10633254026732152	5.0	2.6151386428870045	0.13465176994692418	6.5	0.05707716864929307	0.10717473435635289	12.0	1.3814146270854117	0.1345824309959317	7.0	0.5715679965512686	0.12955781544682116	6.0	1.017257208199082	0.09642780195566455	5.0	2.04415818961093	0.10922062800443444	5.5	0.193315227922271	0.1794658084541674	13.5
6002	5.93685818347379	0.8685578619738088	0.038916337011209994	6.0	0.30460844786852276	0.03546003371452925	7.0	0.4999722657319814	0.027817202961568258	5.0	1.4613302451334436	0.0305061314962036	6.0	0.18780641084096522	0.05991839343850954	14.5	0.9901732422737576	0.0530920458237896	5.0	0.32051978168866885	0.045961430326074554	5.0	0.6426280803348513	0.04416279597941883	5.0	1.6796822386644785	0.04843336030020964	5.5	0.02127566884422668	0.052769934958885274	5.0
6246	5.56159788939357	0.5847680542358362	0.04276853753988908	4.5	0.373870399514328	0.07156758060405677	5.0	0.39805419765722155	0.06876688646402379	4.5	1.0180578781845766	0.07541667856328783	6.0	0.02400923471988319	0.0425062408667167	5.0	0.7235773436964954	0.032633920972153944	5.5	0.35955643375988444	0.049393817265240524	5.5	0.3281592665949522	0.04245028494595139	5.0	1.140354369442708	0.04164028023040317	4.5	0.000895176821121008	0.029011577845914134	5.0
6384	5.61541238216689	0.20415784426076652	0.056364338512745776	4.5	0.28380446558751565	0.05203470055307631	4.5	0.18794854161517424	0.049996741540166194	5.0	0.43704176166751785	0.04904192880046828	5.0	0.041609166768955694	0.056022374560374226	5.0	0.5537365544375329	0.11814106147423595	5.0	0.9029347207643239	0.13633868775245186	7.0	0.8263579571113437	0.1310032696675536	7.5	0.8637490734680551	0.10492271971372948	4.5	0.15279068780166394	0.10169242378012554	5.0
7507	4.04428024657048	2.15347931222943	0.0839712497613366	5.5			5.0			5.0			5.0	0.32942736559438546	0.11075832918416033	11.5	2.0107348452235545	0.07815760480546745	5.0			5.0			5.0			5.0	0.5049822823379087	0.13455163125060257	14.5
7624	4.845	0.25462564586598957	0.039658728308464945	6.0			5.0	0.28289358013064747	0.09948427012800347	5.5	0.1582988873759978	0.0845119424033345	5.0	0.05659238168216369	0.03413652424185962	5.0	0.46137630587518685	0.07852793839947106	5.0			5.0	0.7172267921508431	0.17517715446274812	5.0	0.5738046306605813	0.19841745258532748	5.0	0.12724996834061553	0.078051507292589	4.5
7762	4.14863310108243	3.059008613409876	0.025626594108935048	5.0			5.0			5.0			5.0	0.09160009702701176	0.02546943168356808	5.0	3.694590793335421	0.03919331321653119	5.5			5.0			5.0			5.0	0.1318094648762234	0.03373647542375986	4.5
7809	3.57819206358422	3.5004338737538676	0.11913690130319447	4.5			5.0			5.0			5.0	0.4553144762456349	0.13673508265006168	8.0	3.7898685241250427	0.10853245085878738	8.0			5.0			5.0			5.0	0.2710297395316543	0.08355882682244599	4.5
7892	4.22872754610498	2.393399828894455	0.02823475842756263	5.5			5.0			5.0			5.0	0.09155709867601736	0.02430447390922023	5.0	2.6469802308994312	0.026579509619852767	4.5			5.0			5.0			5.0	0.11195497815320384	0.03736104889038309	9.5
7938	4.80631123887867	2.4780984875232748	0.03595560491178596	6.0			5.0	1.1307600796719404	0.0248792001231643	7.0	5.522463000711681	0.024404473759275763	4.5	0.0712170341843076	0.0505387209323327	11.5	3.241210682721002	0.06566426503889455	6.5			5.0	2.0157360836309017	0.1954835064973246	6.0	7.069072091727995	0.191753435844632	5.5	0.3174465939818228	0.08756336413712146	14.0
8013	8.47315			5.0	0.29943170276517767	0.08165399037732454	5.0	0.21930610479783139	0.07160345667939068	5.0	0.873130555336841	0.0702315527845913	4.5			5.0			5.0	0.3200597162770404	0.189639280612455	5.0	0.45048350981296165	0.1822180206306843	5.0	1.3781766128157424	0.17874107209769063	5.0			5.0
8079	7.258982			5.0	0.10823299920083043	0.04543331058165554	10.0	0.030554578192979128	0.033811686926387904	6.0	0.08006318418302281	0.030274736546641208	5.0			5.0			5.0	0.09996532321272845	0.04460501646479642	5.0	0.06302989274812894	0.04285946342004678	5.0	0.04218545380670587	0.04700399483457136	5.0			5.0
8083	4.6487198664651	6.882685781445805	0.05643096384455142	4.5			5.0			5.0			5.0	0.48690627362449773	0.05608487692923871	4.5	7.429146490845964	0.08283576376090308	4.5			5.0			5.0			5.0	0.6185302997796143	0.08233319696211572	4.5
8113	4.90277103561231	1.50070997509397	0.051470666527468775	5.5			5.0	1.2395353878961335	0.08013331886557372	5.5	3.894120065979175	0.07859907157052974	6.0	0.1901562432752225	0.07234889266419106	11.5	1.785848901591545	0.050062799766572595	6.0			5.0	1.1626223524936945	0.05571055217768522	5.0	3.764914160213515	0.054647524920578616	4.5	0.16294355006419178	0.07036994799452392	11.5
9422	5.935895			5.0	1.6780692075379573	0.0354025009227986	6.5	3.0032331542570225	0.030422573294885666	4.5	8.600456659473696	0.029973296739970883	5.0			5.0			5.0	2.0122085686403404	0.049934657738631635	4.5	3.836711536288453	0.04798053686249254	5.0	10.420072296471975	0.04706500799943221	5.0			5.0
9452	5.12243857379367	1.3924441029328027	0.0772807654548489	6.5	0.9760435505912648	0.13555000020570607	4.5	1.1071606285053293	0.13023252117827638	5.5	3.640082697369178	0.14282229081131284	6.5	0.2209124137872991	0.07680986504088562	6.5	1.6170853137351797	0.19786460139488837	4.5	1.030784618552432	0.423899164017079	8.5	0.5342210500008112	0.33256761516172023	5.0	3.772308689169244	0.3647270688390355	6.5	0.5002468678927792	0.2781251103621588	11.0
9743	5.44012039584156	1.589994031140164	0.07483299339433015	5.0	0.391939465144906	0.079541857267448	5.0	0.5929341276741454	0.07642910130091193	5.0	1.660497371452914	0.08656588558539895	5.0	0.144382033373914	0.07488676760369375	4.5	2.458099768946839	0.20655851645321965	5.0	0.8075195274281715	0.2130457756833632	5.5	1.02835170443843	0.20470853624515645	5.0	2.3590909540590563	0.20080244044666265	4.5	0.2533354752698735	0.20530532039786156	5.0
16625	6.630648	1.239285830250872	0.04361962918145598	5.5	0.38468445845742266	0.027853587241560583	4.5	0.5352104517423425	0.02675732133944057	4.5	1.385652903862326	0.02624325148462477	4.5	0.07486039429263956	0.038775797878315615	5.0	1.7084691522072875	0.08215428197355239	4.5	0.7991036988423877	0.06122109553649853	11.0	0.6482464878321798	0.04159576583460559	5.0	2.2202292023661014	0.044696424337947536	6.0	0.11160461358675271	0.08165584974299374	5.0
16745	5.56655234405774	2.032948978987903	0.03560322236188388	5.0	0.5190588088333201	0.0	5.0			5.0			5.0	0.13302936178175595	0.035384860729615025	5.5	2.1694869703130295	0.05731092565412206	6.0	0.43631210960569894	0.0	5.0			5.0			5.0	0.4623560288007116	0.08449010731638845	14.5
17072	4.70200977971638	0.5258357585009059	0.033542826249256676	6.5			5.0			5.0			5.0	0.08573992118541555	0.02582383689780058	4.5	0.49113472536193176	0.03475833713900607	6.0			5.0			5.0			5.0	0.1065840329561845	0.03454745737603457	6.0
17260	4.88512714601353	0.3383567386918954	0.03211770136700935	6.0			5.0	0.074419629774923	0.04828074343702407	5.0	0.2659848734248148	0.04735634459513107	4.5	0.000295542350222148	0.03192125054584699	5.5	0.4378307374170225	0.05028363510184611	7.0			5.0	0.008196016464078327	0.058745055273857705	5.0	0.35616434886806014	0.07439242663607828	7.0	0.044850714951888034	0.044702185660684006	5.5
17566	6.101534	1.928954227849252	0.11062531078160918	5.0	0.8179389728622941	0.12075991675844017	5.0	1.6796861953980409	0.12970548492345108	5.5	4.791611438590089	0.11378973278547211	5.0	0.17676116622140206	0.10995414405625899	5.0	1.4559810485902378	0.08972069068279805	4.5	0.5998067594127028	0.08452913031678129	5.0	1.0625101048824723	0.09080806735670469	5.5	3.2592766591903066	0.08907533545955952	5.5	0.02245784330534116	0.08917635284782213	5.0
17777	4.13366013096712	0.7105645400085547	0.03424581015778025	5.5			5.0			5.0			5.0	0.14184069428221283	0.04168582850928625	10.0	0.6765953607481632	0.05496730595538729	7.0			5.0			5.0			5.0	0.14770456767450277	0.06691248820039282	10.0
18028	3.73094591607022			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
18090	4.77562372049334	3.666693740037747	0.05843999103187185	5.5			5.0			5.0	10.394211560303267	0.03804335349998535	6.0	0.3544807281392343	0.07683925645444256	10.5	4.402930610981561	0.06567530397261137	4.5			5.0			5.0	12.027489511721615	0.057564787619904516	6.0	0.48277434834683586	0.11306282100619745	13.0
18846	6.335054	2.982768614126829	0.06511929387896505	6.5	1.2582689715658266	0.04606027167496542	6.5	1.9508208065362684	0.040505695801246334	6.0	5.41205394642244	0.03553596540161902	4.5	0.23379632277837276	0.09152774690737725	14.0	3.182645453158687	0.059980714662483	4.5	1.0961002764108418	0.0648237741056674	5.0	2.13867648473709	0.076285670473406	6.5	5.848629166127357	0.061098475187441596	5.0	1.0289005901375077	0.1032593440075307	14.5
