ID	redshift	LF(Ha) MAST	LF err(Ha) MAST	LF(Ha) JADES	LF err(Ha) JADES	LF(Hb) MAST	LF err(Hb) MAST	LF(Hb) JADES	LF err(Hb) JADES	LF([OIII]4959) MAST	LF err([OIII]4959) MAST	LF([OIII]4959) JADES	LF err([OIII]4959) JADES	LF([OIII]5007) MAST	LF err([OIII]5007) MAST	LF([OIII]5007) JADES	LF err([OIII]5007) JADES
3184	3.46762	1.6361544143906426e-18	4.558463058400096e-20	1.343458723553685e-18	2.5451616614368302e-20												
3334	6.70593	4.219188202084338e-20	1.2864468962226991e-20	5.452952315648975e-20	1.2812875286517522e-20	1.3599717803942801e-21	5.457250841526454e-21	1.987959276966481e-20	6.736176066377727e-21	2.1915423630159535e-20	1.2676438884650406e-20	4.566345587571651e-20	2.409178559219635e-20	6.814177149910323e-20	7.193737090306822e-21	1.285148566036896e-19	1.3064912877724489e-20
3968	5.76847043540196	4.73436508195147e-20	7.142304137181488e-21	4.5446128507266093e-20	1.0059835746755052e-20	2.9714849687968083e-20	1.35090175929785e-20	1.6462539221738128e-20	1.1814324019341526e-20	4.098444901783517e-20	2.6862779819424406e-20	5.4790828716056e-20	2.72000263039972e-20	9.0029721872037e-20	1.0645893228155457e-20	1.0220904651575918e-19	1.4307139108992762e-20
4197	3.748809	2.4769810908449702e-20	8.249929956079087e-21														
4270	4.02261238702772	2.367985551109208e-18	5.2069534857519906e-20	2.5473577000465424e-18	2.1032174315614378e-20												
4282	3.599695	5.847265177774756e-20	1.418004731728011e-20	2.5902525503736537e-19	2.8142303383858294e-20												
4297	6.712776	1.6298586906578525e-19	1.2624986060241865e-20	1.8497342872563412e-19	1.5300260656202236e-20	4.2370949834130763e-20	6.692004069656372e-21	4.506346076252523e-20	2.4880654969729133e-19	7.761474908565379e-20	3.843409525242984e-20	1.1907065045185025e-19	4.9748220116472446e-20	2.929010473412456e-19	1.5320104643352657e-20	3.6251348214255685e-19	3.7589442749759397e-20
4404	5.763688	3.4371679526430907e-19	7.212115968239807e-21	4.45542421161584e-19	1.162760608710242e-20	1.269747713332905e-19	8.535029904322596e-21	7.974651867804472e-20	2.056235049144873e-20	2.329649709488153e-19	1.1677694987640515e-19	2.8272321718913987e-19	1.3516634782323155e-19	6.840033334469877e-19	4.215055059430592e-20	7.682029856128029e-19	5.488303124553255e-20
5329	3.5873007444784	2.028455146028684e-19	1.4624080630694366e-20	2.689934935756228e-19	2.1224046922267517e-20												
5457	4.8631511339788																
