ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES	Optimal dline (Ha) MAST	Optimal dline (Ha) JADES	Optimal dline (Hb) MAST	Optimal dline (Hb) JADES	Optimal dline ([OIII]5007) MAST	Optimal dline ([OIII]4959) MAST	Optimal dline ([OIII]4959) JADES	Optimal dline ([OIII]5007) JADES	Optimal dline ([NII]6583) MAST	Optimal dline ([NII]6583) JADES
3184	3.46762	6.460294953944474	0.20893989656493017	5.740484078438267	0.13905318886681128													0.25081304812719524	0.6774060518513675	0.12433784962625705	0.584078718773865	6.0	6.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3334	6.70593	0.3397157973645652	0.08892372682239945	0.3844003749445763	0.08911572026076385	0.014340392623493545	0.053347711804972185	0.2600682546494495	0.06029264860599841	0.14881131266787476	0.048298541529968986	0.4072787112814163	0.05768948204314248	0.5248859975472312	0.047376944738729845	1.2784911838613637	0.05061446690340635	0.03751240461979517	0.09945549410897	0.04651034102563659	0.12097090056783169	5.0	5.0	5.0	5.5	5.0	5.0	5.0	5.0	5.0	5.0
3968	5.76847043540196	0.2422829972912097	0.04233260092674107	0.21636910341011725	0.06117628861113818	0.14192357847330214	0.0675125035963973	0.021752476109368927	0.0630681505198902	0.21038226923507816	0.0613895287011499	0.28582665505124555	0.06261905523920487	0.6976414372828157	0.07688321947464484	0.811540772630919	0.0792983077671566	0.055255787334401056	0.0716397674172201	0.03923917638994539	0.08066009739591404	5.0	5.0	5.0	5.0	5.5	5.0	5.0	5.5	5.0	5.0
4197	3.748809	0.1412053884424704	0.04809680324833034	0.09746860039750903	0.07093180364945939													0.14471610656173675	0.05171687921680569	0.1399335159791297	0.06813116429150409	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0
4270	4.02261238702772	11.897098238939511	0.26874906284081523	11.754477664745101	0.25853907865993353													4.584203669872212	1.9704750620836444	0.379613992316377	1.31131067920839	7.5	6.0	5.0	5.0	5.0	5.0	5.0	5.0	13.0	5.0
4282	3.599695	0.25976302338185575	0.06556241041883945	1.225997129876432	0.16607240504291357													0.03342492757320352	0.06780862148145009	0.20629482500676888	0.2737948702748331	5.0	4.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
4297	6.712776	1.2570734992697308	0.09737368948576801	1.6256195347689062	0.12711710000093407	0.4024890872035437	0.0652257789542885	0.5119405335263134	2.2131522724969215	0.6537767874933159	0.05657714573487154	0.9179949092093196	0.20118464845370715	2.2590801683084223	0.05549610777602739	2.828103027002481	0.1973457928570746	0.05953251026036148	0.18312333130975225	0.08913010308181309	0.23960801613483146	5.0	5.5	5.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0
4404	5.763688	2.265148697274586	0.04148334291913656	3.0135099275015516	0.07932281583833659	0.8372153057713538	0.04527132119596994	0.906443752312814	0.11366340598970728	1.6054624955203376	0.05782402322768042	1.8140343015643094	0.0971775526154695	4.497814381756294	0.05671691630302329	5.0726813936248245	0.09532328294534032	0.10682226631359117	0.2869429339107627	0.06628823038513053	0.37710466046530916	5.0	6.0	5.0	5.0	5.0	4.5	5.0	5.0	5.0	5.0
5329	3.5873007444784	0.8026205925193148	0.050958209034245854	1.0328076453224635	0.09480633419063178													0.3431655072006457	0.12410399634252367	0.09597382019949097	0.14360876265796854	4.5	5.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
5457	4.8631511339788			0.9020243639625377	0.05749959228357191							0.4446786695855167	0.1181694865155773			1.413510929180551	0.11591466439995601			0.11734491625812961	0.11838424934341141		7.5		5.0			5.0	4.5		5.0
5759	5.05189382127941	1.2886922429851553	0.08107738539885752	1.3814146270854117	0.11348851309597305	0.4393839766655531	0.09986001391712836	0.39010026002748405	0.12874537228363406	0.8887490399530298	0.11191197152151702	1.017257208199082	0.08940289294798442	2.6151386428870045	0.1417171545581249	2.04415818961093	0.10126374256339116	0.03325067745762357	0.19663555042186448	0.06608366191193549	0.2062911484511157	5.5	7.0	5.0	5.0	6.5	5.0	5.0	5.5	5.0	5.0
6002	5.93685818347379	0.8685578619738088	0.03903666127443583	0.9901732422737576	0.048103583830587895	0.24925344280507108	0.025480651368903373	0.32051978168866885	0.032606089195746195	0.4999722657319814	0.026580176956342013	0.6426280803348513	0.037822718653725024	1.4613302451334436	0.02914952932337581	1.6796822386644785	0.04148019434600642	0.03610157297936284	0.12052707612593205	0.02127566884422668	0.14968391919150065	6.0	5.0	5.0	5.0	6.0	5.0	5.0	5.5	5.0	5.0
6246	5.56159788939357	0.5847680542358362	0.053148005239100654	0.7235773436964954	0.03810119220023702	0.373870399514328	0.05875335584345067	0.35955643375988444	0.033350911363871936	0.39805419765722155	0.07567876792039537	0.3281592665949522	0.043605068186162534	0.886605194415007	0.06428915513391649	1.140354369442708	0.042773028757038235	0.02400923471988319	0.10950361923834556	0.000895176821121008	0.1055593366826757	4.5	5.5	5.0	5.5	5.0	4.5	5.0	4.5	5.0	5.0
6384	5.61541238216689	0.20415784426076652	0.05256307552339183	0.5537365544375329	0.10179272073049359	0.28380446558751565	0.055035713359425566	0.9029347207643239	0.16016986449740012	0.18794854161517424	0.04908696106135279	0.6059334800494042	0.11803588756517022	0.43704176166751785	0.048149522853769174	0.8637490734680551	0.11578361468517803	0.041609166768955694	0.07251443990873636	0.15279068780166394	0.11797869891601058	4.5	5.0	5.0	7.0	5.0	5.0	5.0	5.0	5.0	5.0
7507	4.04428024657048	2.15347931222943	0.07381551943739428	2.3790220709127463	0.11426545433525484													0.1179126583198439	0.3225820224603229	0.29320967725301866	0.32496181416625597	5.5	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
7624	4.845	0.21524361756907354	0.03655255604312975	0.46137630587518685	0.07601231206012168					0.28289358013064747	0.09565358719667476	0.7172267921508431	0.1772315272297826	0.1582988873759978	0.08125777513808397	0.5738046306605813	0.200744373651866	0.05659238168216369	0.04605247716739134	0.1837267361378586	0.12103773508980212	5.0	5.0	5.0	5.0	5.0	5.5	5.0	5.0	5.0	5.0
7762	4.14863310108243	3.059008613409876	0.07832403565427584	3.694590793335421	0.05315050950156754													0.09160009702701176	0.4103003609922192	0.1318094648762234	0.45282943436918804	5.0	5.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
