ID	redshift	Flux ([OII] 3727) MAST G235M	F_err([OII] 3727) MAST G235M	Flux ([OIII] 4363) MAST G235M	F_err([OIII] 4363) MAST G235M	Flux (Hbeta 4861) MAST G235M	F_err(Hbeta 4861) MAST G235M	Flux ([OIII] 4959) MAST G235M	F_err([OIII] 4959) MAST G235M	Flux ([OIII] 5007) MAST G235M	F_err([OIII] 5007) MAST G235M	Flux ([NII] 5755) MAST G235M	F_err([NII] 5755) MAST G235M	Flux ([NII] 6548) MAST G235M	F_err([NII] 6548) MAST G235M	Flux (Halpha 6563) MAST G235M	F_err(Halpha 6563) MAST G235M	Flux ([NII] 6583) MAST G235M	F_err([NII] 6583) MAST G235M	Flux ([SII] 6716) MAST G235M	F_err([SII] 6716) MAST G235M	Flux ([SII] 6731) MAST G235M	F_err([SII] 6731) MAST G235M	Flux ([OII] 3727) JADES G235M	F_err([OII] 3727) JADES G235M	Flux ([OIII] 4363) JADES G235M	F_err([OIII] 4363) JADES G235M	Flux (Hbeta 4861) JADES G235M	F_err(Hbeta 4861) JADES G235M	Flux ([OIII] 4959) JADES G235M	F_err([OIII] 4959) JADES G235M	Flux ([OIII] 5007) JADES G235M	F_err([OIII] 5007) JADES G235M	Flux ([NII] 5755) JADES G235M	F_err([NII] 5755) JADES G235M	Flux ([NII] 6548) JADES G235M	F_err([NII] 6548) JADES G235M	Flux (Halpha 6563) JADES G235M	F_err(Halpha 6563) JADES G235M	Flux ([NII] 6583) JADES G235M	F_err([NII] 6583) JADES G235M	Flux ([SII] 6716) JADES G235M	F_err([SII] 6716) JADES G235M	Flux ([SII] 6731) JADES G235M	F_err([SII] 6731) JADES G235M	Flux ([OII] 3727) MAST G395M	F_err([OII] 3727) MAST G395M	Flux ([OIII] 4363) MAST G395M	F_err([OIII] 4363) MAST G395M	Flux (Hbeta 4861) MAST G395M	F_err(Hbeta 4861) MAST G395M	Flux ([OIII] 4959) MAST G395M	F_err([OIII] 4959) MAST G395M	Flux ([OIII] 5007) MAST G395M	F_err([OIII] 5007) MAST G395M	Flux ([NII] 5755) MAST G395M	F_err([NII] 5755) MAST G395M	Flux ([NII] 6548) MAST G395M	F_err([NII] 6548) MAST G395M	Flux (Halpha 6563) MAST G395M	F_err(Halpha 6563) MAST G395M	Flux ([NII] 6583) MAST G395M	F_err([NII] 6583) MAST G395M	Flux ([SII] 6716) MAST G395M	F_err([SII] 6716) MAST G395M	Flux ([SII] 6731) MAST G395M	F_err([SII] 6731) MAST G395M	Flux ([OII] 3727) JADES G395M	F_err([OII] 3727) JADES G395M	Flux ([OIII] 4363) JADES G395M	F_err([OIII] 4363) JADES G395M	Flux (Hbeta 4861) JADES G395M	F_err(Hbeta 4861) JADES G395M	Flux ([OIII] 4959) JADES G395M	F_err([OIII] 4959) JADES G395M	Flux ([OIII] 5007) JADES G395M	F_err([OIII] 5007) JADES G395M	Flux ([NII] 5755) JADES G395M	F_err([NII] 5755) JADES G395M	Flux ([NII] 6548) JADES G395M	F_err([NII] 6548) JADES G395M	Flux (Halpha 6563) JADES G395M	F_err(Halpha 6563) JADES G395M	Flux ([NII] 6583) JADES G395M	F_err([NII] 6583) JADES G395M	Flux ([SII] 6716) JADES G395M	F_err([SII] 6716) JADES G395M	Flux ([SII] 6731) JADES G395M	F_err([SII] 6731) JADES G395M	Flux ([OII] 3727) MAST G395H	F_err([OII] 3727) MAST G395H	Flux ([OIII] 4363) MAST G395H	F_err([OIII] 4363) MAST G395H	Flux (Hbeta 4861) MAST G395H	F_err(Hbeta 4861) MAST G395H	Flux ([OIII] 4959) MAST G395H	F_err([OIII] 4959) MAST G395H	Flux ([OIII] 5007) MAST G395H	F_err([OIII] 5007) MAST G395H	Flux ([NII] 5755) MAST G395H	F_err([NII] 5755) MAST G395H	Flux ([NII] 6548) MAST G395H	F_err([NII] 6548) MAST G395H	Flux (Halpha 6563) MAST G395H	F_err(Halpha 6563) MAST G395H	Flux ([NII] 6583) MAST G395H	F_err([NII] 6583) MAST G395H	Flux ([SII] 6716) MAST G395H	F_err([SII] 6716) MAST G395H	Flux ([SII] 6731) MAST G395H	F_err([SII] 6731) MAST G395H	Flux ([OII] 3727) JADES G395H	F_err([OII] 3727) JADES G395H	Flux ([OIII] 4363) JADES G395H	F_err([OIII] 4363) JADES G395H	Flux (Hbeta 4861) JADES G395H	F_err(Hbeta 4861) JADES G395H	Flux ([OIII] 4959) JADES G395H	F_err([OIII] 4959) JADES G395H	Flux ([OIII] 5007) JADES G395H	F_err([OIII] 5007) JADES G395H	Flux ([NII] 5755) JADES G395H	F_err([NII] 5755) JADES G395H	Flux ([NII] 6548) JADES G395H	F_err([NII] 6548) JADES G395H	Flux (Halpha 6563) JADES G395H	F_err(Halpha 6563) JADES G395H	Flux ([NII] 6583) JADES G395H	F_err([NII] 6583) JADES G395H	Flux ([SII] 6716) JADES G395H	F_err([SII] 6716) JADES G395H	Flux ([SII] 6731) JADES G395H	F_err([SII] 6731) JADES G395H
4404	5.763688	53.20144160248919	6.277662984477966	16.19275763691427	9.082292540524321																			52.83389187367359	9.392039302545827	18.87840479501283	10.998256740156954																					11.902631557328794	10.935132777838643	83.72153057713538	4.613223777312949	160.54624955203377	5.657858645477743	449.78143817562955	5.549532483867093	3.5972347461165897	3.7472397066611975	0.9824644727972996	3.825593426300829	226.51486972745863	4.396954397776079	8.24198747561347	3.090048587934124	2.163768149323991	3.163587282265128	2.7277875880505285	3.1495029162139843			27.495564028025274	13.682830686696816	90.64437523128142	11.64288658937776	191.98142526449865	10.094410945877037	507.2681393624825	8.856436401136298	6.363728235373385	4.17570556276185	0.8805476273832809	6.177657399104195	275.6940788211872	8.69663714856036	3.367034255201951	6.112142216628398	12.50774454761265	5.204419219340445	3.9645734549878022	5.1812490208158275			35.1570342881189	10.328267261814073	96.3918771202694	7.564152416778074	151.5692623559147	7.474444280965897	456.5258145997973	7.329244415711745	8.574331147954137	2.0914898866890907	3.5521757753534904	6.287505171058531	222.41632815064537	8.079495810265392	0.580966077790865	6.219345293495481	12.596297051982933	5.593692993243932	1.011042142729475	5.566799819237903			32.12266558833636	14.779499096017563	110.43002349036176	13.106872601431352	184.96949245877732	14.042834738169315	522.6782609718775	13.13383258582209	0.40122375025060547	3.5517834083882507	10.504669521616249	16.20376975933292	255.07540412310195	20.82346375945622	22.227985754463838	16.031925828188957	22.8072085033296	13.913683829660512	11.394261140134684	13.851739777324056
5759	5.05189382127941	39.36658697819019	19.53987469191774	23.39447188883396	13.204244589552365	10.34843769228756	27.72015759477871																	25.496391761546178	15.114151298959023	34.2390515852807	9.3690318048177	25.080763058089918	13.850150577841658																					43.93839766655532	10.44711611037179	88.87490399530297	10.63325402673215	261.51386428870046	13.465176994692417	1.4126880684523804	6.240160762476929	5.868791317035259	5.643136731714751	128.86922429851552	7.944162222816457	6.805464004264192	5.5832902383205365	1.1806193867745605	5.8538738739825735	2.053164545790043	5.829361002246408					57.15679965512685	15.703801982395635	101.72572081990819	9.642780195566454	204.415818961093	10.922062800443443	0.6025011493088214	7.343612257444381	11.796433398253939	7.489482150905263	138.14146270854116	11.787842578252853	13.558063855160439	7.410054827874639	6.2274426312447435	7.508951808426573	1.8489618404101946	7.4755217758374135					29.826094018087073	27.459157462895508	109.3624924571097	18.754922311892777	274.6347716004389	18.393811511715672	7.814500358786924	9.834386814059368	9.890264682699224	11.23402209277697	115.01956209483467	13.61735655835002	6.908728634402909	10.143136073229938	17.50579612832963	9.251577223511394	8.835774919385456	9.20874343620625					12.757653305253697	26.732845830419706	79.83989407722073	17.151286942711582	237.81599675961738	18.599652676476655	12.37303828140337	12.058883477141148	20.388323145545204	15.046463553638484	101.2055261005774	18.3439391033544	9.154254654727318	13.58981190543135	36.48955092046196	9.775647995468336	52.17007469464644	9.732126577384774
7892	4.22872754610498	51.94451879121727	6.211558300668815	24.34663805539298	6.351187462072185	93.85925863270505	6.67608118202656	178.3704472032161	4.789435442538283	489.35619291486677	5.146222427417705	1.084524865108199	5.3225986736945865											44.94984683776799	8.447050550328456	24.563971362899448	7.543344510781286	88.3624442771487	6.94774705995597	185.7614360091217	5.818248521153373	478.2980504011876	5.209963473989924	8.836458896653538	6.4909575278949925																					3.6435034492236587	2.5953313772467723	4.49420001043925	2.6610522175854663	239.33998288944548	3.7457403985097337	6.865154415856059	2.6324816747312307			1.876251483189108	1.8674491944994671											5.3234420258836685	4.875796198227299	4.404963291010148	2.6493419414905754	264.6980230899431	3.229952810203056	4.881323481656296	2.621245187408065	5.230793303101984	2.729445874331396	0.8855696409383348	2.7172943161852454											8.640892893757103	5.48335247648345	8.889550806517578	2.1289003998577063	250.22166996844507	2.9964416895661805																	1.6148121327295906	8.416741554906313	7.758538346605118	2.6365212403311027	285.1724504966525	3.1053304739672254	1.232485081681023	1.6497984885891965				
8083	4.6487198664651	85.1159791382866	6.237402673069491	36.1964797305789	12.093106005073402	251.85827564809455	6.530349067085175																	97.6599062914529	7.6766697186356945	30.242523280743363	12.884017291033032	267.8046204133758	9.698257642911507																											5.3855246478534236	3.8582265002394585	30.020406835172952	2.2089082379196094	688.2685781445805	2.693175360957806	37.876001054245066	2.1854823635255207	9.60319128356694	2.754205186643275	8.435196453007208	2.7415797947018232											7.641200499821295	5.002690064236102	32.30353573806015	3.7381456845294996	742.9146490845965	4.55737100960841	45.035172535726694	3.698501968337951	17.403374848499745	4.800468059652003	16.692564979361002	4.779096261327791																																	1.8765945905609875	7.013437259039182	32.16687036222334	6.093861687463733	921.1074891236724	8.138443978267537	40.013028011227064	6.029235173774033	1.8087940840116208	8.342690046466087	4.421568270998286	8.30554819135611
8113	4.90277103561231	52.1297405008094	7.4839376841616225	20.781363314691937	6.4377397798472265																			50.38783816288463	7.480858462218196	12.215899534602167	6.300727581030321																									123.95353878961333	8.013331886557372	389.4120065979176	7.859907157052973	0.40053982618284956	3.4014241834366366	2.9384988784921604	4.199880028596205	150.07099750939702	5.911820633431475	2.0810732401967544	4.15478886769859	4.411477942459775	3.957049736660726	9.777798505216442	3.939432856832606							116.26223524936945	5.571055217768522	376.49141602135154	5.464752492057861	2.4706967798714663	3.6846564645480857	3.2231218409592555	3.9969843528395397	178.58489015915453	5.626780567366804	2.4856569834952413	3.954595605405605	4.2647434802858495	3.595930392056445	9.58248102581663	3.579921224167607							118.7298965258403	10.112425811806567	383.1741251551133	9.91707105007072	3.5255096287085803	4.979083455853426	1.4009720805928585	4.5447423039112875	146.89024517728302	6.068900254247732	5.193742096328111	4.924783525926825	6.940443821744407	3.942980559060987	3.4025844193915824	3.925146741716256					21.71637290007497	4.028705393923693	114.87310179557797	10.894219358895393	407.4291697827219	10.686343980341006	18.953493096289733	7.416067380479101	13.697717461801442	9.150463674267055	156.57404652908951	11.155813976483266	10.809672487350285	9.053421339503082	0.07708256474123842	7.784951358177075	1.668867506615545	7.075016778852071
9422	5.935895	30.515275050050356	2.9644077532929907	26.05593925257505	9.305365215510989																			27.015996430922158	4.008930321809092	31.80494659842619	15.081183233490828																					24.258692780329813	8.201272145751227	167.8069207537957	4.606945982891441	300.3233154257023	3.042257329488567	860.0456659473698	2.9973296739970885	5.433972060862838	2.1263840313221296													32.354628561755604	12.163016106761967	201.22085686403406	4.588823084669748	383.67115362884533	4.798053686249254	1042.0072296471976	4.706500799943221	4.512503804625978	2.7117754576770357													36.44464377434554	8.643605779162957	164.34838673828767	3.8264812253608227	313.3039474073597	2.099328267192209	929.482762618837	1.962663713602169	5.953538356432495	3.144758214235763	0.04338532293028686	4.62881623582143	417.6010782519154	5.94749103694117	6.838508352068073	4.577251045203517	3.705041015657355	3.588328852996993	10.57668811690659	3.8576533885969138			37.087231458395514	9.698507392682812	193.54122296644942	7.305095178400002	405.96191325487143	2.9131433817871404	1079.6394555541904	2.857556949816259	0.09092748400240924	5.795397018345505	15.805479556601007	8.191376063770461	546.377215284496	10.526736996235911	10.92190075001506	8.104505027882734	0.9812271917636501	7.750017386314489	1.2368247439719817	7.143178056102554
16625	6.630648	11.068157662770423	5.287088961349253																					1.8719537748555455	8.156487205134605																							8.001844702076012	3.3463504392314234	38.46844584574227	3.1494514195559304	53.521045174234246	2.6757321339440567	138.5652903862326	2.624325148462477	2.2055400340117695	2.2407295896077315	3.6287146976344724	3.170355614044861	123.9285830250872	4.990152690784276	5.794369592542905	3.1367334150162423	4.501481867477763	2.109811770004188	15.256331629781803	2.57178641586211			6.682787613717244	6.828489530168224	71.70493805815538	6.471101612563639	64.82464878321797	4.159576583460559	222.0229202366101	4.469642433794753	3.2994781760397465	3.0758486752281593	6.372947787268274	6.787196588114068	188.13667476298517	10.6825015823925	6.864798876009894	6.715217131457522	13.876653440840373	5.675060192114099	20.148649075486162	5.649794688755367			3.1432070046663343	4.413974152010189	30.851614260642464	4.075619283618034	55.082321346592124	3.8621345995685328	157.19442835533354	3.972266869198556															0.2260985757174224	10.93056336451908	43.19961388081318	11.5315530278571	131.19385366994038	10.189745434289339	253.4503817737008	9.995312302392056												
18090	4.77562372049334	134.0196375815713	6.731054980470195	28.478869085388627	11.657977609685007	155.35763896215906	12.582463547796197	369.5883648059877	11.653484774222074	1158.790370827182	12.519482065182459													107.36860001498304	11.728741660798708	33.70803331409287	10.699845291445166	170.14086241875793	13.193117360759409	372.03122566835924	13.959956596357621	1169.7279523889606	13.693583103542045																					1039.4211560303268	3.8043353499985346	13.43585908081037	4.377886135488144	11.99684509174203	3.9590822922279516	366.6693740037747	5.573144400743606	11.641160351473099	3.917095503050197	0.4265113778343372	3.9341942357338997	5.046633543455134	3.916679109141169									1202.7489511721617	5.756478761990452	7.451408132233122	5.7340155068439245	11.709273439799144	6.4439552978341474	440.29306109815604	7.856166543510112	7.930163844314538	6.37561597760846	4.989570779206388	5.412017161192771	2.7902443948424196	5.387922731682124																															1288.2534357101479	11.1009808620791	5.269068989206143	11.916626467028644	20.947439723450973	8.898275490893495	493.57566248850003	11.204135996711322	20.136627442342505	8.803907657769733	7.909688437323004	9.45114000726306	4.3541054024222365	9.409063306485928
18846	6.335054	31.70932733664126	5.9144275295819515																					41.824564480056864	7.140009374043306																							22.501956666123732	6.7503826106650076	125.82689715658267	5.216283483397804	195.08208065362683	4.050569580124634	541.2053946422441	3.5535965401619016	1.2209553511691789	3.109480203212216	1.614968715743566	4.989887437842813	298.27686141268293	8.603277061426985	12.242355598107542	4.9369687722527065	4.615324132964765	4.082033650169118	8.310076191413465	4.06386033897458			27.14927261760311	7.954154985105873	109.61002764108417	5.365856112289546	213.86764847370898	7.628567047340599	584.8629166127357	6.10984751874416	2.253323474922929	4.014642799963369	4.123413347518069	8.127093233899995	318.2645453158687	11.440968050120519	31.590676568973922	9.84805584857012	8.034039362749226	5.804244922294519	0.9458653126632556	5.778404285436613																									15.072457180464877	10.279938651517975	88.50737317972379	12.032916989925843	190.43664271047967	10.089419975260137	583.6707059577878	9.896901179039196	7.17745947870804	8.697463315117147										
19519	3.60450973158305	112.23761853947202	11.841835633654076	33.605345599247336	7.995941030578782	138.4451052847953	4.315143411175831	262.64319956494774	4.479238236356962	758.0265836825919	5.380439071305574	5.544561633716857	3.6272899052200875	4.075348059491001	4.806428500429947	364.805083067548	6.765515960458345	8.072366024232888	4.754917908240855	12.306804028638384	3.8973869587973398	13.130847851445193	4.752053823264808	119.93182718175633	11.125219540906366	25.090339083605315	7.196443526959285	147.83303755255866	7.67622312839816	237.46580654442295	7.689791629864552	695.8303579911789	8.263009055429642	3.0232239166436745	4.523253256654225	0.06744143421180017	4.94451167190206	346.60463374958954	7.782263718682783	9.720085199077745	4.892074224572958	27.499208205781294	5.10461312888024	0.42886082264325776	4.1493435801678755													4.282889949019507	3.2768671400784144	363.14833110715193	4.613030904795466	10.316349641396156	3.241682911879105			6.034673152782033	3.237617006292879															362.54144688901664	5.399221166149483	7.242975033300652	4.381699464096077			11.267365384671653	4.930369058666172													14.109908263676623	3.4305875825131236	334.79964691151304	4.5171741500227975	12.067845263973686	3.3934479780816806	16.885699271483578	3.6756795706865613	12.258528434117382	3.6589882386774253													0.00903298270065467	7.213815085799537	365.34825592508304	8.794743307292675	23.358499944056998	7.137311262228426	20.76408399212816	6.634074126081865	3.5316882226307253	6.604539069809117
