red_axis	blue_axis
-0.782	0.393
-0.899	0.432
-0.914	0.498
-0.899	0.529
-1.057	0.553
-1.054	0.603
-1.083	0.588
-1.101	0.568
-1.112	0.549
-1.171	0.537
-1.237	0.580
-1.193	0.572
-1.178	0.591
-1.178	0.619
-1.193	0.642
-1.186	0.681
-1.160	0.677
-1.142	0.646
-1.171	0.646
-1.134	0.708
-1.134	0.728
-1.142	0.743
-1.215	0.743
-1.289	0.607
-1.241	0.661
-1.259	0.646
-1.428	0.514
-1.377	0.599
-1.329	0.619
-1.303	0.638
-1.285	0.665
-1.289	0.693
-1.303	0.673
-1.366	0.638
-1.344	0.673
-1.336	0.704
-1.347	0.728
-1.351	0.693
-1.402	0.646
-1.399	0.681
-1.454	0.650
-1.457	0.716
-1.439	0.689
-1.413	0.708
-1.413	0.728
-1.406	0.751
-1.406	0.786
-1.380	0.778
-1.362	0.798
-1.479	0.767
-1.494	0.689
-1.512	0.704
-1.546	0.704
-1.531	0.732
-1.523	0.767
-1.535	0.798
-1.535	0.837
-1.535	0.848
-1.615	0.860
-1.560	0.763
-1.579	0.778
-1.586	0.720
-1.608	0.739
-1.619	0.735
-1.619	0.786
-1.645	0.786
-1.696	0.813
-1.700	0.833
-1.725	0.798
-1.777	0.786
-1.733	0.755
-1.714	0.743
-1.689	0.712
-1.755	0.720
-1.802	0.716
-1.839	0.728
-1.854	0.724
-1.861	0.677
-1.913	0.844
-2.048	0.700
-2.085	0.763
-2.463	0.661
