ID	redshift	Te JADES	Te err JADES	12 + log(O/H) JADES	12 + log(O/H) err JADES	Te MAST	Te err MAST	12 + log(O/H) MAST	12 + log(O/H) err MAST
4404	5.76								
5759	5.05	28700	(7300, 5200)	7.33	(0.10, 0.16)				
7892	4.22					26000	(4700, 5800)	7.34	(0.09, 0.13)
8083	4.65								
8113	4.9								
9422	6.93	20800	(3700, 3700)	7.45	(0.13, 0.17)	22800	(4000, 4000)	7.40	(0.11, 0.16)
16625	6.63								
18090	4.77	18600	(3600, 3400)	7.7	(0.15, 0.20)	20000	(34, 52)	7.62	(0.04, 0.04)
18846	6.33	25500	(5300, 5000)	7.35	(0.10, 0.16)	23900	(5400, 5700)	7.28	(0.11, 0.11)
19519	3.6	21800	(4000, 3800)	7.44	(0.14, 0.18)				
19606	5.89								
22251	5.79	22700	(4600, 5800)	7.47	(0.13, 0.18)	25800	(125, 143)	7.32	(0.02, 0.03)
10009506	3.6	18140	(240, 250)	7.64	(0.01, 0.01)	19222	(50, 50)	7.59	(0.01, 0.02)
10013618	5.94								
10013704	5.92	33500	(5400, 6800)	7.17	(0.05, 0.06)				
10016186	3.92	27800	(330, 480)	7.16	(0.03, 0.03)	26900	(5600, 5900)	7.33	(0.08, 0.16)
10035295	3.5889	26900	(4600, 3100)	7.28	(0.08, 0.13)	27700	(5200, 4800)	7.31	(0.07, 0.11)
10056849	5.81								
