NIRSpec_ID	redshift	JADES_FILENAME_F070LP-G140M	JADES_FILENAME_F170LP-G235M	JADES_FILENAME_F290LP-G395M	MAST_FILENAME_F070LP-G140M	MAST_FILENAME_F170LP-G235M	MAST_FILENAME_F290LP-G395M	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
3184	3.46762	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013491_nirspec_f290lp-g395m_x1d.fits	Clarisa	6470	6620	4789	4887	4910	5073
3334	6.70593	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_b000000274_nirspec_f290lp-g395m_x1d.fits	Gabriela	6543	6583	4783	4874	4922	5031
3968	5.76847043540196	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000000023_nirspec_f290lp-g395m_x1d.fits	Lorena	6523	6602	4783	4874	4922	5031
4197	3.748809	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009491_nirspec_f290lp-g395m_x1d.fits	Margarita	6512	6586	4784	4874	4922	5031
4270	4.02261238702772	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009489_nirspec_f290lp-g395m_x1d.fits	Noelia	6503	6625	4795	4872	4912	5119
4282	3.599695	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_b000000281_nirspec_f290lp-g395m_x1d.fits	Panchita	6520	6605	4818	4897	4934	5042
4297	6.712776	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_b000000256_nirspec_f290lp-g395m_x1d.fits	Carla	6550	6585	4841	4882	4932	5031
4404	5.763688	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000015099_nirspec_f290lp-g395m_x1d.fits	Gina	6538	6613	4832	4898	4929	5057
5329	3.5873007444784	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013301_nirspec_f290lp-g395m_x1d.fits	Betty	6513	6600	4829	4896	4919	5054
5457	4.8631511339788	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000000054_nirspec_f290lp-g395m_x1d.fits	Melanny	6513	6600	4829	4896	4919	5054
