ID	redshift	EW(Ha) MAST	EW(Ha) JADES	EW(Hb) MAST	EW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) JADES
3184	3.46762	-325.9558342714319	-335.2105935477422	-37.812918640379685	-44.49152355606947	-398.49095028568195	-522.5068121406381
3334	6.70593	708.9348164592424	3770.213984517272	-106.90374378603538	-35.88889301319259	-1080.8998996741998	-1024.5235396809662
4197	3.748809	-169.08216384009273	-353.6089471159295	-23.22873723970028	14.69817273449405	8.915245534821619	-38.438067336492594
4270	4.02261238702772	-988.6794168708836	-1168.3120995058302	-132.3523265977071	-128.7322982109069	-1155.9247226463901	-1462.308647308113
4297	6.712776	-6209.236439675278	584.4965042338688	-299.96204136137084	-202.90303159579292	-3217.6140416408243	-2452.1338319285974
4404	5.763688	-1224.3493779139335	-1310.6265219496734	-179.35889485986888	-194.76783156040665	-1370.5094236076577	-1315.813630344043
5329	3.5873007444784	-61.85364594996501	-57.05451871548169	-21.94269858404396	-26.07625914603334	-78.93155696272188	-75.26474412332153
5759	5.05189382127941	-558.8456987991658	-670.5240441227106	-124.6266067861943	-130.39969209858793	-907.6861730202263	-954.2324515159532
6002	5.93685818347379	-3032.748702192468	-1621.5746753495428	-103.5897533762597	-97.77208459769408	-849.4438650022307	-783.57480135097
6384	5.61541238216689	-251.35088535208064	-157.08171757095124	-50.52950148234994	-44.354414519917036	-190.31483429802975	-170.0542800301832
7507	4.04428024657048	-911.4347106454236	-962.1376625078435	-143.70356689388936	-145.06720012824863	-912.9279727341852	-943.2718423448678
7624	4.854	-2.212359308387691	-66.90640418660887	-4.9037823141823225	-6.002862268135494	-87.12151573971595	-94.80585268562707
7762	4.14863310108243	-384.0349743362331	-377.35965660052307	-55.10106753438265	-59.08712261066571	-523.0991417502988	-565.0024241473843
7809	3.57819206358422	-284.0714785954228	-267.8625174783926	-67.32711121525182	-32.61300903257317	-467.64333385022167	-377.4217993626571
7892	4.22872754610498	-920.2765504337558	-850.1893690640542	-149.41591291843554	-144.0718902638505	-1229.4283526103854	-1171.4347859336601
7938	4.80631123887867	-683.9113397023768	-581.1622178223688	-113.1838589672904	-125.26755225966731	-1190.0899781199453	-1273.9316587830729
8083	4.6487198664651	-1407.800807589728	-1329.5132309438964	-170.08689717724386	-162.24137289812896	-1979.953681155332	-1926.1209006055883
8113	4.90277103561231	-517.2170985572146	-528.5334667638483	-98.34405079695564	-90.02867931805292	-846.790668704097	-832.5874078046717
9422	5.935895	-2045.8823419304097	-2244.233364184704	-290.31142187331534	-265.5098899810742	-2388.55930586695	-2289.2428069806465
9452	5.12243857379367	-600.8756968781909	-543.8542286195499	-44.30566278634623	-68.56221646898359	-901.5133481034073	-719.3246870561597
9743	5.44012039584156	-1123.7132908066317	-1283.0932126598523	-198.16926277947735	-344.7233370768352	-1704.789862119164	-2029.9169455644237
