ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
3184	3.46762	-272.268205191015	7.40015196805263	-315.468789034004	7.4131839261255	-25.0920492743031	4.4042865715823	-15.9082067542087	7.24772298570358	-355.632351284555	6.05480738418489	-446.294732581336	12.352245279645	6470	6620	4789	4887	4910	5073
3334	6.70593	-634.471399322997	165.560977314613	-529.561401833986	57.9383603409289	-28.8224845925728	519.189567602499	49.8964225785915	255.313869259704	-1183.85234909547	169.14921649683	-1036.83235738346	79.2413086175708	6543	6583	4783	4874	4922	5031
3968	5.76847043540196			-261.442435188279	90.7002153458566			37.6976804088363	205.73611937511			-337.932122093319	54.2408032915067	6523	6602	4783	4874	4922	5031
4197	3.748809	-207.586004981072	33.91656176806	-276.839125447923	62.8841302208162	-89.5259508345988	157.434698489012	-112.553419539127	219.479048983356	9.07738460609595	60.3837079898142	-27.7385934715093	79.5812607946519	6512	6586	4784	4874	4922	5031
4270	4.02261238702772	-1004.82456897295	23.8223046696837	-1135.44136318129	27.9239504241297	-82.9401051986036	13.1109648848656	-61.9974140950606	7.06498017626301	-1206.3164291876	30.913718405588	-1320.44111714783	25.7898546890111	6503	6625	4795	4872	4912	5119
4282	3.599695			-128.074922731888	43.9186649158692			-48.4297200178701	21.1234006729654			-176.034709989693	34.3065908042669	6520	6605	4818	4897	4934	5042
4297	6.712776	-1449.11269042977	129.788461971134	-1532.72235373615	101.759401917788	-324.419627157902	63.0128798065426	-268.127395342412	50.8860501632497	-3562.28513783061	162.131823253791	-2636.59210973652	154.326253914497	6550	6585	4841	4882	4932	5031
4404	5.763688	-1334.78886151456	53.5155198181181	-1199.61771245724	66.2003585711147	-200.113411167648	27.9988541697776	-238.003154558809	32.6334901682553	-1504.69707799591	50.4119549497974	-1608.53346730425	67.3532319476749	6538	6613	4832	4898	4929	5057
5329	3.5873007444784	-54.3548433067543	4.95131800545926	-44.5307829350514	5.15164345196432	-7.49233574683303	2.83961521060115	-7.52665026662914	2.41448261911631	-53.7668921460258	5.62914788594863	-45.3802337434831	8.33116028970548	6513	6600	4829	4896	4919	5054
5457	4.8631511339788			-494.259800840659	53.2725915701278			-63.5368001837861	16.1732142888689			-512.122624538725	41.2813088001432	6513	6600	4829	4896	4919	5054
5759	5.05189382127941	-545.323628027066	36.335900718052	-613.68425531187	51.0274619211089	-119.119578844802	50.3673658043095	-154.015232757188	42.9375674087825	-963.279651173066	90.8266492169879	-1056.20839687637	78.9668897964668	6525	6585	4801	4883	4896	5043
6002	5.93685818347379	-767.523934650795	43.3538113511645	-723.845250834971	39.4281136914326	-111.620405367068	16.9081701222275	-111.565574166033	19.0961993902964	-974.072192525662	44.329249380158	-922.023897758351	44.6395257897138	6539	6585	4838	4890	4931	5053
6246	5.56159788939357	-679.579818432332	60.2509691676701	-519.17876172104	27.4000549793904	-90.8080022468235	19.2476797037196	-97.1591131245944	17.6031906328958	-677.666899075928	40.1782167949389	-606.443361744776	39.024725997049	6539	6600	4838	4890	4931	5053
6384	5.61541238216689	-283.041779400279	71.4726915901844	-166.967308204759	67.8006004472305	-40.2895287569244	26.8047494910562	-47.2664783964399	34.2486323004561	-195.669047666461	42.3547575066544	-179.554271006387	66.0675912766041	6520	6602	4806	4892	4929	5084
7507	4.04428024657048	-720.187886039997	40.5938831638338	-783.30456088116	36.8976228207829	-175.759765567446	38.5341947222075	-157.746716789281	28.8405284051598	-1069.11441298618	49.8778191129675	-956.167644909553	41.0446391770455	6506	6601	4801	4896	4909	5051
7624	4.854	-33.0665265052084	10.2285475823937	-48.317921032278	9.60782383838849	4.2461155729073	10.9708863558582	2.07164977061583	7.11688019068717	-79.1785764293314	31.1820592194551	-135.484419469237	36.5030798873805	6531	6574	4793	4819	4914	5062
7762	4.14863310108243	-383.149392794207	13.3387979194139	-366.743106669024	13.1014449144009	-29.9024473930954	5.28091346979088	-48.0975200672781	6.59837125041698	-483.539731225595	13.1346160080151	-525.271945108947	10.3587604199787	6506	6615	4809	4897	4927	5077
