ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
3184	3.46762	-321.5497132797013	6.8220412452187835	-376.75779985514737	7.340857466509501	-34.369951585962916	3.4875707801959233	-34.99829562117878	6.8503298976544125	-383.10883832281513	6.8528021331072315	-467.48974667136997	10.016925104537028
3334	6.70593	-1842.757214555319	614.6326045882114	-652.1226101069744	154.0216582676297	-143.86465807068032	178.12746060137536	-83.19742937600846	76.42051416591832	-1461.3088042058853	285.36861301188355	-1261.104026381191	119.37534881557521
3968	5.76847043540196			-234.36064829107556	103.69920053547337			-67.96978816616556	51.92536791565408			-479.26976629898496	82.01469704846207
4197	3.748809	-321.50413566264797	81.58766531712546	-469.47160470298377	166.52951956830685	-10.038645536785543	27.704289653143796	2.819620800869136	51.96128633151585	-10.01798902076931	71.7010115270497	-43.382460042949894	95.67920768170941
4270	4.02261238702772	-1606.3245857507595	38.83055857372865	-1581.911188954296	29.152342432909744	-86.28305363299046	17.515405926070976	-121.26605512037537	12.327488200151054	-1180.5674124869165	28.761990573662324	-1532.9707413174478	24.006039260487928
4282	3.599695			-117.16300211056341	49.964993946267086			-37.71029707216283	27.234596687613315			-162.2818739028603	46.66557158421405
4297	6.712776	-1672.2181959946624	285.17789545834495	-1355.6611409493592	228.93412632695592	-328.74053944383013	121.8480094883544	-345.123723207995	143.80306963348895	-3171.1070513005325	200.64074881961628	-3292.374563923614	246.7319619883093
4404	5.763688	-1591.5556750741505	89.2725955365092	-1114.8274229168358	69.66489583786053	-170.3077440904525	32.854992471469316	-194.52816366227327	34.970174441949055	-1381.197059401713	53.56352390948348	-1347.6123175800499	57.71361266992245
5329	3.5873007444784	-55.32274505092591	5.756204491243167	-53.3647423144631	8.222297949912946	-4.060421832704668	2.9385534885625724	-7.0405447638352205	4.701522989043753	-54.6319072639014	5.786312916692313	-49.22413492044592	8.089826696804504
5457	4.8631511339788			-510.19580881247833	73.79858834214359			-68.61546133887367	25.403303461357964			-510.7316983189557	41.852744168032174
5759	5.05189382127941	-694.5765227797177	55.94992748780696	-729.3331567584564	73.92298674725697	-92.96913679522626	35.915201565477666	-113.56536322542536	41.83369187277304	-828.7509220475084	55.053242210522136	-841.4890492057502	64.58969573686768
6002	5.93685818347379	-783.6944140509108	70.1234924662521	-626.2696565269334	65.248631848138	-96.47065942730838	24.121497744672187	-107.28911124482124	31.995675373654738	-893.4624097132164	38.4458114157486	-845.5454267057723	45.009023252407005
6246	5.56159788939357	-605.3464813434069	79.31718923077342			-101.2888420230473	39.47452780325928			-669.1881419588576	62.65687859593443		
6384	5.61541238216689	-303.46309569967354	83.09642991847049	-153.40787410636162	81.582266116947	-39.41658380873746	27.000637520683192	-46.871455520225986	39.23300051804057	-184.02366277488602	42.98597070058945	-178.8421670859486	62.02101150953621
7507	4.04428024657048	-1096.4770508021618	39.83439355595519	-971.5031635814297	48.05372191517955	-70.56926549650285	21.684305892056344	-103.1592525453584	19.446827800349595	-778.8179128512552	36.19057911542968	-782.8120551343379	38.7294536079313
7624	4.854	-7.522192476841165	29.994658658952556	-63.0092224010071	25.90711982191646	-9.250437528019887	17.358158184562708	-15.476033179678215	23.466498457124914	-101.74584588945642	33.40709048344933	-140.6628335522234	41.335352790519885
7762	4.14863310108243	-485.98471300194524	13.773479227395862	-472.16086242452184	15.143718485209819	-31.90621550660265	6.8054254192783485	-49.96341653395194	6.437701297248638	-500.230355575028	11.161250723600629	-537.9173365454742	10.085710217160612
7809	3.57819206358422	-392.9823929931196	10.815158652078054	-347.6849147126451	11.731242913835182	-35.72718694086683	4.4936373212346075	-27.68228505420754	9.700002589858968	-416.38600472069777	8.875380853145723	-397.8422096991262	16.681966026174546
7892	4.22872754610498	-1336.0624204229914	28.96434576933582	-1265.804949351652	42.01601292087589	-124.49996245457618	18.930201322157238	-112.20718616762946	21.496460994386315	-1217.441357246862	31.535481417630585	-1196.2956512267747	38.733185783686984
7938	4.80631123887867	-1234.5102756440924	41.169726780315926	-1104.9667759800782	40.83482878347279	-88.58896917001245	13.910271664029686	-100.83424717246218	19.344034155884312	-1160.613725698942	32.51502005521582	-1157.3183641792937	35.20731417320448
8013	8.47315					-202.33202327458798	187.42848492487238	-205.879891400156	210.54165142638578	-1885.7029429557626	311.4365266335349	-2196.8804201613757	422.458987003903
8079	7.258982					-7.5935243694899075	48.621454182962225	-4.0715426785361615	65.54550085206397	-197.07584253547844	78.75464938905074	-203.3402094818186	106.26957854355187
8083	4.6487198664651	-2958.6484337294014	63.355199380754236	-2829.2852466067025	60.54520237353055	-156.17220754307343	16.584924922940473	-145.94483250547114	24.066579854567657	-2092.988105548662	32.89879686176409	-2016.2252700653266	39.36128767250391
8113	4.90277103561231	-801.8924790648887	46.934269301880775	-642.651252893766	46.447490451394316	-95.43631788864755	15.571880114555391	-93.91273474570292	15.930940843056373	-869.5792039315455	23.281927136374527	-870.1956814400412	28.73322919000164
9422	5.935895	-1694.6577346621366	33.06780321027071	-1350.4799789320248	39.325687699117694	-294.9674418890295	36.42180544324095	-301.25474692565075	43.0260674514177	-2491.48923264036	59.15486519326119	-2560.361422360318	62.60145619950303
9452	5.12243857379367	-671.3598302264768	77.4588151175026	-718.496518945569	129.4720542189963	-16.678804684454043	33.6559815431964	-49.58157773075709	35.40942221345989	-853.7448265309735	48.51188133224785	-603.8694056929899	57.14862089365906
9743	5.44012039584156	-878.8493692447498	98.30791495057171	-1152.6127112925892	171.18761120558753	-250.90819625099408	86.42271815416764	-433.68409660098575	143.8752033141647	-1928.3700180203382	136.92944106384581	-2128.678157094643	183.55841423809173
16625	6.630648	-1370.8025821197089	94.35105237953192	-2263.912878817436	172.5035094749043	-329.96833537735114	79.77376193862676	-307.06023857332207	78.74345459383085	-1681.1790897145713	134.3055207117713	-1537.3916762935287	136.02356960106326
16745	5.56655234405774	-507.387183657961	19.148233776660327	-434.9002809606128	23.009202722208858	-59.63830136508455	9.951793986313492	-59.50579689440259	14.172990439976633	-707.5776392986827	17.142864324020582	-687.2182767211827	20.80312786736584
17072	4.70200977971638	-153.14381419536102	25.927716113423063	-193.27241595719983	48.67657763493536	-25.84984875968312	15.050837546594385	-23.967503682844097	20.460032305544715	-233.80681775257165	22.15419576091328	-222.00652608314167	33.91215036880245
17260	4.88512714601353	-308.1915460711084	41.93694506308785	-320.7203790401313	57.21531367762751	-16.08857324088347	16.49544668529965	-37.98621361468017	19.736660066426058	-129.58081445189504	24.288295038753283	-168.5397497651033	35.713455427882685
17566	6.101534	-366.03168575890527	39.985933049016545	-366.21498492275595	39.98078745018489	-45.621288716576665	17.52111871071907	-49.025532830289364	21.988899312889732	-446.81639144760976	22.9576686075406	-445.15842098420586	35.32446207271513
17777	4.13366013096712	-252.46827174978333	19.93019111374467	-247.4498349166204	23.759635257828094	-17.590441022751428	11.80293078017919	-15.206538728372118	14.689581295973394	-343.7245455883494	19.479713871293495	-338.03769234622587	26.047528102055768
18028	3.73094591607022	-109.56014937166192	13.785774463549513	-218.78952321012724	33.91358579056494	-7.865109503287765	7.21660342822588	-74.77424238449197	36.65063846237116	-62.749416742897104	13.914103643297555	-466.8835385162645	60.54389667173732
18090	4.77562372049334	-1547.6213141742314	51.121496089307286	-2095.225558358652	90.63393338359813	-137.1809424171226	22.694384834833386	-142.77187071215124	22.49313472808469	-1644.2855228348988	33.72033222670176	-1826.966333965618	37.406260392241286
18846	6.335054	-707.1889221068111	31.967441488783066	-581.5627920964939	36.35450500275393	-178.9997922792073	29.33821836851602	-191.0575702066808	32.27241828499643	-1195.0193742692304	43.95198538787882	-1224.4504813841843	48.60395127438249
18970	3.72458828704365			-250.44131230451578	10.069631479587844			-27.22489640137507	3.8914956021754596			-278.6414284145369	6.534725908623074
18976	6.327052	-370.385864416042	56.39984462268134	-1826.0821896087555	279.3425332190425	-96.61463137601503	35.52003172122654	-130.98856382036823	63.68774641271022	-671.6893382328946	53.27631461987836	-988.6854570279966	103.0093503587689
19342	5.974287	-511.9034848298061	49.2467653592904	-980.4440786638713	128.7665495090359	-183.5086835522659	37.98578598252854	-201.71323395802162	68.14830096589883	-1038.1121157935352	59.311181983552494	-1479.8875690655466	105.57419520359878
19519	3.60450973158305	-641.8495457514985	18.695981977794556	-704.621112846512	16.95368953223405	-60.59174425081687	6.228908626778888	-52.998131375119215	11.06238356568616	-692.6016173482213	12.19030618787275	-686.4154391775069	19.08221379536466
19606	5.88913558713673	-1028.749799279405	122.99248127506162	-1124.3462578053598	150.36540328108532	-186.70873032500134	60.17835786064905	-149.82775432997437	63.24886332175795	-1573.9404282164855	98.88633405494174	-1625.1093695447328	118.59146804059957
20961	7.04457065169479	202.13371853460058	37.658759006993435	460.5865434149996	94.84324161498016	-91.19928385295907	53.558587162501404	-124.10069528898998	56.642984625870064	-772.5093132348424	130.94463624046773	-557.2993735862377	101.82117564302015
22251	5.79838391626917	-976.1745644572879	35.44089880205569	-920.2635844139503	44.604003247786615	-134.35577877836528	24.8509907106817	-160.0617277466607	25.50683302322043	-1455.2491343134238	39.73703367136486	-1615.4626491340562	40.793400155559866
10000626	4.46468607001795	-1161.6129012995784	158.21901169390773	-1220.2622013342668	187.1313266949834	-142.05731318221282	70.8695228347078	-195.24932572250344	91.42826535057225	-994.5288660888374	87.57166616457882	-1092.1664194923994	133.90184506330223
10001587	3.43070237834676	-563.8822109154316	74.97909922837904	-363.03556948927815	93.40804807492933	-72.47161946099862	39.14389995689914	-73.08737703587298	59.362711093996346	-323.28428428423365	78.05040404436556	-306.39150321338326	85.50273688275406
10001892	4.770522	-511.43408244564796	185.9668634418908	-427.6293028845	218.25100087982938	-39.24059640252494	60.25537580163191	-66.7708492876325	92.70660822092316	-182.42335306717686	90.33142827000545	-193.74008861764824	168.06980764948582
10005113	5.820838	-1402.2018425350786	134.66081000410435	-1441.6729934469274	154.3316090929162	-267.4136003921383	79.3384169514382	-360.25816547456185	118.29796308846474	-1548.0600292009842	124.53312195019987	-1730.1786580298801	173.34528539216117
10005217	4.8883230178694	-4661.690318867964	119.87712521640948	-5097.979200403995	149.96991945351812	-440.41134067049074	63.53906231098074	-411.16774733137413	60.07248674187262	-2276.39026247689	96.67246849954283	-2397.018103379603	110.91828853119112
10005447	6.62257640301802	-384.9671946115278	250.29853469723986	-159.16448165611166	148.73468412340048	-171.18602448035463	210.35658911235274	-450.2477549645407	746.4690996772487	-1211.2977882056766	346.375498956818	-2617.905642899161	923.0255214593645
10009506	3.59928686455817	-777.7695518006299	13.802878055259082	-836.5807716528407	16.86847574424575	-98.50287445264485	15.783539126881662	-81.59935409303044	7.636166079455715	-968.8450015675724	20.892563909546208	-948.0259445428753	13.245132510470455
10009693	6.28599376348805	-1796.6594858706385	742.2084913649303	24718.05994916372	57734.58151898065	102.62570621241059	374.4627855104002	59.624213864458326	291.9792521405515	-3232.6368250723544	934.9688683971543	-1587.439778697375	588.5543515252863
10009848	4.37	-5.761391240331166	65.74712224355578	56.24740076686638	64.4238198880477	6.723505333980455	21.859107215730443	-6.017204055380109	35.648394098783754	-9.199345177900287	35.30418732741804	1.8982617326714704	62.6623441325452
10013545	4.03498294164463	-525.7893895375719	22.35687372967815	-417.1874415637469	42.25953962648014	-44.39886838252904	10.370909168882774	-192.96623020855532	48.92185538642307	-631.8810919005455	17.03798985508037	-704.2407962807806	59.73079272721303
10013609	6.928894	-1177.7331169393758	100.72365924481072	-1896.120823778585	209.18364413631366	-229.90941705797883	61.88722366819021	-162.08067096430764	62.67308013426461	-2094.7921986466386	108.46794269884552	-1535.39620403752	108.48536643535279
10013618	5.94372301071691	-127.86437227069761	12.985945753738076	-108.70258716140492	16.231900175968498	-22.612585141428312	5.812672613955601	-20.433641650125743	7.998851033907837	-172.23016709954095	9.062013290319644	-157.02431247037285	12.112673180169168
10013620	5.91753186734937	-331.8407384997623	28.663572258425525	-474.619893191404	55.49801367343607	-46.27945051957116	14.5225509930598	-54.04964931602579	19.245544967665257	-468.18109778907103	22.87525354015777	-492.18557553771825	33.87366410836113
10013704	5.919825	-715.7788592323625	22.13062067686973	-680.8016796069575	26.52706375962186	-137.01213518529318	27.31315049936024	-108.84139839028813	22.097552689920786	-1011.0602650747602	38.00069680363019	-911.478764043146	33.495772115965266
10013905	7.197212					-387.7533940586274	88.38368612333078	-290.06259879579534	104.58717966020015	-2181.0475284420318	139.61463704886307	-2428.8833650842416	200.21276335778165
10015338	5.07627227996806	-2412.680315333345	117.88157000257289	-1545.4971520971053	88.9364196377124	-172.64083567731285	31.33468283247782	-186.67796505815124	45.04098381952822	-1217.9252619467159	47.78803594195481	-1363.1099402429093	65.60639193837682
10016186	3.92792643507394	-301.7679183417153	9.951090679636941	-305.793768877258	11.085956859543524	-46.87562481330335	6.525311895073583	-36.25366227544458	8.060060964465986	-344.756227839936	10.76064576194927	-345.4997743906714	12.645286528536854
10016374	5.50325569707072	-944.1360921512335	39.46730153818866	-911.9146811543641	46.85312676848003	-119.79541006365355	29.494500727951102	-124.18814728175464	29.864515142270086	-1362.6096646417288	41.18419012810099	-1347.0583123896643	44.45652609700141
10035295	3.58892350772953	-2688.311661324543	69.97283270879312	-1422.9320039700951	33.17793474223417	-124.19021732493299	18.493971366344987	-155.18572783816222	23.03140019592904	-1496.0499155733728	36.03242633511887	-1714.2037332435316	39.725424800918944
10056849	5.8142066790736	-2146.3225495059414	136.8978419320693	-1666.7879448543085	138.28522601685032	-202.59202427696357	57.35291186602298	-250.0426644063707	62.84300538829451	-1468.5817058723137	93.70034819633938	-1533.0171382011886	113.59703275720031
