ID	redshift	EW(Ha) MAST	EW(Ha) unc MAST	EW(Ha) JADES	EW(Ha) unc JADES	EW(Hb) MAST	EW(Hb) unc MAST	EW(Hb) JADES	EW(Hb) unc JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
10001892	4.770522	-220.24182250639694	70.90834968849242 Angstrom	-295.4798771243058	119.89753541845614 Angstrom	-92.59862755233331	59.871269803597045 Angstrom	-95.55918085314772	79.591741077447 Angstrom	-223.89970242416473	64.6109717914248 Angstrom	-218.5704184488405	114.51491848774278 Angstrom
10015338	5.07627227996806	-1274.0772132361153	58.1311191359779 Angstrom	-1550.6458937232326	101.43403452728396 Angstrom	-159.90677658092721	23.984208897077817 Angstrom	-139.4459159916429	31.674819876256905 Angstrom	-1226.6332339973446	36.18039303281619 Angstrom	-1158.0329422260058	57.92850685205401 Angstrom
16745	5.56655234405774	-501.41821890066547	27.484763319028254 Angstrom	-439.93747126255846	30.450683964459305 Angstrom	-70.68791486665707	4.038400224338224 Angstrom	-69.45035141306363	8.471041498595563 Angstrom	-697.5425724462652	11.018273992756502 Angstrom	-705.5167361370903	22.24066389806907 Angstrom
18976	6.327052	-389.9533793880921	29.247668373901572 Angstrom	-548.4704269886677	71.82959228987578 Angstrom	-82.07447417969462	7.923805647966359 Angstrom	-167.963381972469	32.45850948672543 Angstrom	-545.2645897501458	24.86702647668924 Angstrom	-1070.8927277867979	81.91550592788094 Angstrom
4297	6.712776	-859.7475480135629	101.87303138982753 Angstrom	-2358.786875596348	272.8750704382077 Angstrom	-334.2984615679319	53.55208472531475 Angstrom	-293.90628140688534	46.82086272572233 Angstrom	-3374.1448678692977	150.0549132915145 Angstrom	-2239.1558491454875	142.8591439341377 Angstrom
7762	4.14863310108243	-361.13572195025176	7.3442845645768635 Angstrom	-354.9445540039485	9.736009327902696 Angstrom	-30.53780670782426	2.0113218424353194 Angstrom	-49.346335270661115	5.751843101455495 Angstrom	-479.52069082507904	6.031867126813426 Angstrom	-521.3624990651324	12.102573401755366 Angstrom
20961	7.04457065169479	195.94421727736062	48.828786885208785 Angstrom	-131.86982794331004	75.81364807733314 Angstrom	-101.86697603562492	41.24659445967082 Angstrom	-163.13246490992458	63.54813481588128 Angstrom	-803.3885629267968	111.1483294945616 Angstrom	-683.6784934687316	105.68666408897835 Angstrom
4270	4.02261238702772	-967.1677677567818	12.398375180769717 Angstrom	-1081.7553413017438	25.358963254628428 Angstrom	-86.34934605512278	4.400788647790514 Angstrom	-64.62786977957433	4.4873826473296035 Angstrom	-1188.4742216207671	12.598290078543837 Angstrom	-1300.8934055514478	23.593769016306133 Angstrom
19342	5.974287	-544.1499113711089	42.794448317707996 Angstrom	-829.9448409338943	106.59808656382818 Angstrom	-184.44563844631426	21.109977789632083 Angstrom	-318.5256957949472	60.977891967283604 Angstrom	-1042.8147769197292	37.69465442369848 Angstrom	-1998.6520153179283	113.1182127904892 Angstrom
10016186	3.92792643507394	-261.90816034623776	6.726144998952205 Angstrom	-263.5505457787244	9.179883563788222 Angstrom	-41.96513911771302	3.615176541520136 Angstrom	-37.64908695650795	6.464975620212603 Angstrom	-313.4575719936031	5.278442654882388 Angstrom	-343.1789483167314	11.674130109105878 Angstrom
18846	6.335054	-677.8584217718852	26.928124140620646 Angstrom	-704.490959794029	44.28543627971432 Angstrom	-197.6457089999654	7.667847979492216 Angstrom	-234.549483845054	15.692110654948104 Angstrom	-1216.5123202695952	19.237860873492203 Angstrom	-1314.5900030418848	31.272879805688227 Angstrom
10013545	4.03498294164463	-412.2193316795532	15.344116323634378 Angstrom	-471.85764335872057	47.28709416289848 Angstrom	-88.20262459434372	9.466110153524491 Angstrom	-234.64601053081327	30.318896368931398 Angstrom	-679.9276718405583	14.019749783576243 Angstrom	-708.0222283032555	48.533441525034526 Angstrom
10009506	3.59928686455817	-580.3710791038375	8.759271737169005 Angstrom	-577.2608340516631	17.057251774472363 Angstrom	-43.16199528647878	5.200700390435864 Angstrom	-52.881641710115545	7.0828716371411575 Angstrom	-894.0685396991948	10.201108426016269 Angstrom	-943.0915155539848	18.60236963992804 Angstrom
10000626	4.46468607001795	-1798.2894126570777	165.3779502033657 Angstrom	-1023.823944229324	141.77619509263337 Angstrom	-143.33792874185787	53.31854400912469 Angstrom	-235.7406258657164	100.03027375687914 Angstrom	-1049.0445665017908	72.74240666585148 Angstrom	-1271.6313785484592	171.87045075901312 Angstrom
10013620	5.91753186734937	-295.9952564638144	18.011037283759183 Angstrom	-346.718248834987	30.642151008873135 Angstrom	-73.8658777195815	10.618116162345887 Angstrom	-73.15066787267492	15.363682675038657 Angstrom	-528.0370605905057	22.41260217106675 Angstrom	-544.1502047703132	38.396356807588916 Angstrom
7762	4.14863310108243	-361.13572195025176	7.3442845645768635 Angstrom	-354.9445540039485	9.736009327902696 Angstrom	-30.53780670782426	2.0113218424353194 Angstrom	-49.346335270661115	5.751843101455495 Angstrom	-479.52069082507904	6.031867126813426 Angstrom	-521.3624990651324	12.102573401755366 Angstrom
7938	4.80631123887867	-643.8246669491724	15.455223865547797 Angstrom	-661.1284573133735	28.105441849426775 Angstrom	-112.51190260411559	8.919902681925684 Angstrom	-93.84566647499452	10.464622338242087 Angstrom	-1110.3956151236841	16.101204207176742 Angstrom	-1040.9931879789806	22.52059428711177 Angstrom
22251	5.79838391626917	-845.9200798911529	29.925477275033884 Angstrom	-1123.3290116466667	61.51580761904493 Angstrom	-194.59179537105095	17.16099170869024 Angstrom	-185.40562230046487	19.459241231641027 Angstrom	-1623.1805295351896	30.88534392292813 Angstrom	-1513.1475579669775	37.30910702653626 Angstrom
10009848	4.37	15.941136124612994	37.293593258311475 Angstrom	54.21555075857646	66.94478542694826 Angstrom	0.3052578370360073	18.616512681798486 Angstrom	3.967995017425583	30.953980261892948 Angstrom	-11.573351876630655	35.112983249278585 Angstrom	-1.7513545296846906	59.886165137733066 Angstrom
8113	4.90277103561231	-423.0776665031784	32.45166159791235 Angstrom	-423.62932845282614	56.39779381117833 Angstrom	-107.7698987514826	13.142202092118762 Angstrom	-97.81142725100895	16.389619018457566 Angstrom	-896.3178083192039	21.243047087477635 Angstrom	-903.8892646968341	35.22621782629404 Angstrom
7892	4.22872754610498	-891.9884828480617	19.982615847460703 Angstrom	-946.0684125836426	33.06928327880766 Angstrom	-101.80237620269033	5.4480322277494455 Angstrom	-104.39342743064049	11.387821295100872 Angstrom	-984.9516325171376	12.769293906905695 Angstrom	-1056.516339270455	26.091910365348884 Angstrom
