ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
3184	3.46762	-278.08446283347575	7.837522235888131	-318.5124000521513	7.459667182095466	-25.092049274303104	4.4042865715823	-15.90820675420866	7.247722985703582	-355.6323512845548	6.054807384184892	-446.29473258133646	12.352245279645034	6471.0	6622.0	4789.0	4887.0	4910.0	5073.0
3334	6.70593	-3817.3075591023016	1385.6778106684533	-407.54624722428923	105.14620299564118	-28.82248459257276	519.1895676024988	49.896422578591455	255.31386925970412	-1183.852349095473	169.1492164968304	-1036.8323573834552	79.24130861757078	6523.0	6602.0	4483.0	4874.0	4922.0	5031.0
3968	5.76847043540196			-261.4424351882795	90.7002153458566			37.6976804088363	205.73611937510987			-337.93212209331864	54.24080329150667	6523.0	6602.0	4483.0	4874.0	4922.0	5031.0
4197	3.748809	-68.79410486971133	25.193028467103474	-239.290315688522	59.041762256552865	-89.52595083459877	157.43469848901202	-112.55341953912743	219.47904898335617	9.077384606095954	60.383707989814205	-27.738593471509297	79.58126079465191	6541.0	6604.0	4484.0	4874.0	4922.0	5031.0
4270	4.02261238702772	-1000.8599962685597	32.966306024306256	-1104.407534562509	35.95997170887307	-82.94010519860365	13.110964884865595	-61.99741409506062	7.064980176263008	-1206.3164291875992	30.913718405587975	-1320.4411171478316	25.78985468901106	6462.0	6639.0	4795.0	4872.0	4912.0	5119.0
4297	6.712776	-859.7475480135629	102.5229107488095	-2358.786875596348	182.18401692714193	-324.4196271579019	63.01287980654263	-268.1273953424123	50.88605016324972	-3562.2851378306145	162.13182325379142	-2636.5921097365194	154.32625391449739	6543.0	6585.0	4841.0	4882.0	4932.0	5031.0
4404	5.763688	-1330.7542984911656	53.56913202218746	-1012.8349849149636	63.4610268609923	-200.113411167648	27.998854169777623	-238.00315455880946	32.63349016825527	-1504.6970779959117	50.4119549497974	-1608.533467304247	67.3532319476749	6531.0	6619.0	4832.0	4898.0	4929.0	5057.0
5329	3.5873007444784	-54.35484330675427	4.951318005459255	-44.530782935051434	5.151643451964317	-7.492335746833025	2.8396152106011505	-7.526650266629136	2.414482619116313	-53.766892146025796	5.62914788594863	-45.38023374348307	8.331160289705476	6513.0	6600.0	4829.0	4896.0	4919.0	5054.0
5457	4.8631511339788			-494.25980084065895	53.27259157012784			-63.53680018378614	16.173214288868945			-512.1226245387247	41.28130880014318	6513.0	6600.0	4829.0	4896.0	4919.0	5054.0
5759	5.05189382127941	-583.2033190290592	38.12374924000884	-967.0701715009777	83.65347711318982	-119.11957884480218	50.36736580430945	-154.01523275718802	42.93756740878246	-963.2796511730662	90.8266492169879	-1056.208396876374	78.9668897964668	6516.0	6595.0	4801.0	4883.0	4896.0	5043.0
6002	5.93685818347379	-870.0133218951602	49.39860761328907	-721.5570266476282	50.43606187074671	-111.62040536706802	16.90817012222747	-111.56557416603269	19.096199390296405	-974.0721925256616	44.329249380158004	-922.0238977583509	44.63952578971382	6539.0	6600.0	4838.0	4890.0	4931.0	5053.0
6384	5.61541238216689	-283.0417794002793	71.47269159018441	-166.96730820475855	67.8006004472305	-40.28952875692441	26.804749491056203	-47.26647839643988	34.24863230045613	-195.66904766646064	42.35475750665443	-179.55427100638656	66.06759127660409	6520.0	6602.0	4806.0	4892.0	4929.0	5084.0
7507	4.04428024657048	-675.9544299430595	38.309508389942316	-788.3699321329455	36.969973328388754	-175.75976556744604	38.53419472220745	-157.74671678928107	28.840528405159834	-1069.1144129861807	49.87781911296754	-956.1676449095535	41.04463917704552	6506.0	6601.0	4801.0	4896.0	4909.0	5051.0
7624	4.854	-26.790401051104652	14.000663892607752	-61.75185443363368	10.533956296369539	4.246115572907298	10.970886355858186	2.071649770615835	7.116880190687166	-79.17857642933136	31.182059219455088	-135.48441946923708	36.50307988738048	6524.0	6577.0	4793.0	4819.0	4914.0	5062.0
7762	4.14863310108243	-383.1493927942071	13.33879791941394	-366.74310666902426	13.101444914400897	-29.90244739309543	5.2809134697908755	-48.097520067278104	6.598371250416977	-483.5397312255954	13.134616008015128	-525.2719451089473	10.358760419978726	6506.0	6615.0	4809.0	4897.0	4927.0	5077.0
7809	3.57819206358422	-288.4794751509068	11.12599478183309	-270.9590551496718	12.015581567179137	-29.784646656978488	3.4227160225150968	-22.350137009537836	10.15853030262384	-390.64344853085106	6.814433851334139	-375.77449918792945	17.54742220738187	6506.0	6615.0	4809.0	4897.0	4927.0	5077.0
7892	4.22872754610498	-893.7640730897457	20.680160657479384	-837.9111000770212	24.231148031183523	-98.25375443101595	11.649107726950586	-99.02737887198447	17.303620133563253	-1011.4955483429294	23.63522263123751	-1092.0276180548258	35.38294329397058	6510.0	6621.0	4811.0	4882.0	4930.0	5073.0
7938	4.80631123887867	-705.1487020199847	18.020600432212824	-685.8273201070357	20.070125809729916	-104.9184657707941	20.00438298554552	-87.72193316459061	17.878169421289364	-1148.6415612792598	30.25230523057502	-1083.4630859043868	32.189649990090835	6510.0	6608.0	4821.0	4901.0	4918.0	5060.0
8013	8.47315					-1023.1583189348885	750.0485327025045	-485.9167842082957	455.38343808261686	-2905.634213638161	580.8006526259265	-2935.981509839581	672.9267960514511	6510.0	6608.0	4821.0	4901.0	4918.0	5060.0
8079	7.258982					-21.27253347497263	61.10853628787392	3.4659571369908106	74.02573427127867	-190.7712781825212	88.69927554561411	-153.235853438902	108.71858029736987	6510.0	6620.0	4815.0	4910.0	4918.0	5060.0
8083	4.6487198664651	-1300.1925388609254	33.26101858175061	-1308.6262547634067	34.725908282949966	-141.06319614507657	11.218449989768269	-165.2166875731608	19.889274927988808	-2001.5667915863978	28.526085695216658	-2247.916559346042	39.88411433612943	6494.0	6630.0	4824.0	4887.0	4927.0	5072.0
8113	4.90277103561231	-478.2077401758686	47.72157468912541	-486.36452989326904	53.51810540976889	-104.08740405395457	15.753090875971793	-97.93964344870808	14.362113966740749	-917.9671354381878	23.63460636322634	-903.108038468269	28.7675982606441	6528.0	6699.0	4810.0	4884.0	4907.0	5046.0
9422	5.935895	-1920.729537296715	28.72335156019876	-2062.5650576551607	41.52145654438848	-331.26386916047016	27.051570849796846	-409.77449798201064	41.11855614319	-2902.8011709845755	67.5573666145139	-3643.8556825016053	105.09772091568354	6531.0	6594.0	4828.0	4891.0	4931.0	5064.0
9452	5.12243857379367	-1213.600278298812	131.0317709771879	-605.4507163281846	113.71958014934411	-48.41358229985423	33.53794246421724	-76.70283378282215	41.89086405891041	-916.3473748082836	73.58100151017275	-800.1771467968806	97.2466198107474	6535.0	6634.0	4815.0	4902.0	4945.0	5138.0
9743	5.44012039584156	-1183.7093790931078	123.20874333382365	-983.6817812027692	128.12983898322443	-231.5226285823103	124.19751307255461	-497.6644590271739	172.63123824322864	-1984.968469706979	183.5902427193426	-2886.061345079419	293.5533902727045	6537.0	6639.0	4788.0	4896.0	4913.0	5087.0
16625	6.630648	-4214.6708595566815	237.25856198511633	-1401.2640642333402	88.28516750868016	-621.273982168835	123.59838673878603	-444.9542435622514	82.60122821137747	-3141.0892093716957	304.553896726617	-2503.998923006815	229.51271846714445	6534.0	6606.0	4828.0	4885.0	4912.0	5068.0
16745	5.56655234405774	-483.7082232726326	31.44435271230759	-444.29958660064136	33.143467828271	-68.29711088185141	7.643654409780443	-66.64011925620576	10.587546363175994	-712.0949681534241	17.789411707288544	-718.2801473358455	24.64980694243571	6522.0	6637.0	4838.0	4897.0	4916.0	5067.0
17072	4.70200977971638	-156.3252216811825	19.111438592625774	-161.65702330911068	24.34811562752509	-14.43051225420137	10.416606675649597	-13.068661760167107	14.397054563833349	-212.16070596686973	20.594256331321905	-198.2146237740872	25.744578273933357	6514.0	6593.0	4810.0	4887.0	4908.0	5050.0
17260	4.88512714601353	-291.67672975438575	26.926008974562365	-336.96995113254866	37.769416366977495	-18.417435361427305	8.639180462600814	-31.688455228628815	12.443746926183538	-98.97029450672723	17.075647400962993	-142.68679943399616	21.7599178416366	6530.0	6605.0	4827.0	4892.0	4938.0	5040.0
17566	6.101534	-359.722177977702	24.116124483266304	-444.279487609361	31.732386224927385	-49.51252437141312	11.273133666159925	-63.70563359208657	15.692577047521144	-460.32264419631474	19.495946904161976	-495.6957696993876	27.786819887831545	6542.0	6601.0	4836.0	4887.0	4936.0	5051.0
17777	4.13366013096712	-224.0295120075931	13.47010310157759	-230.3118474260811	23.91255683104099	-24.41990106019175	12.065810985760221	-28.564842966723155	19.72426144211438	-365.9332505589574	27.57154597660376	-371.6024418011074	34.76380242917723	6494.0	6609.0	4793.0	4899.0	4916.0	5098.0
