	"ID	redshift	EW(Ha) MAST	EW(Ha) JADES	EW(Hb) MAST	EW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) JADES"
0	"17260	4.88512714601353	-243.60241921034338	-254.24843272605793	-21.099778625454512	-35.14366373257238	-126.91616825261696	-156.45155890235603"
1	"19606	5.88913558713673	-4792.922763222119	-839.3509301674621	-87.2599338250028	-123.67710871220896	-871.2797386872273	-1150.2247143280604"
2	"10016186	3.92792643507394	-261.6971675143624	-270.17747214321173	-31.87104808954197	-24.146340234039215	-294.7667693423698	-285.1714129559582"
3	"10009848	4.37	-18.12641573094069	26.623872638158915	1.0574385497092873	1.1471781571339268	-11.186787863465883	0.5460359226034941"
4	"10001892	4.770522	-326.9338553016768	-308.15489003455644	-49.54800443037461	-73.17732480832984	-146.69256509685584	-170.79488685719252"
5	"17566	6.101534	-203.0860344222787	-219.83522405239103	-31.909980923505678	-27.267755776699858	-374.6556187278741	-344.59326654626955"
6	"9422	5.935895	-398.50002392971544	-364.1227849678718	-159.43621779549235	-134.2986916962121	-1319.490387480307	-1234.0071754846745"
7	"16745	5.56655234405774	-251.55089348843296	-219.74881081948618	-44.99271931878462	-42.49073245082522	-559.1151124911077	-552.4841261990705"
8	"9452	5.12243857379367	-369.8295306923603	-385.86463830281957	-13.513916004596789	-26.265431021621218	-641.330188550274	-468.8884539247337"
9	"7624	4.854	4.322578023004668	-53.48512573359248	-1.4043711743550016	-1.6129713727501425	-77.85291839309703	-85.62928553890774"
10	"22251	5.79838391626917	-442.78384293151424	-449.24678493900046	-50.940211166039134	-50.51682113995445	-792.4915501821866	-798.5364442991932"
11	"18028	3.73094591607022	-77.2265471149117	-145.3002584285993	-11.515379530097615	-55.44302344821631	-83.04197072418442	-325.9705280196721"
12	"3334	6.70593	-570.5402489964929	-509.39870906293754	-54.86132512177123	-1.7017106942091598	-749.9274900993942	-683.5228751874392"
13	"7892	4.22872754610498	-821.3556845811904	-771.1261570724595	-161.3754925246874	-143.32874960312625	-1341.7614426125915	-1205.437520882276"
14	"18976	6.327052	-217.50196976483252	-357.76304063778196	-75.77825003274117	-79.06596304967321	-541.233607783886	-630.2439996145192"
15	"10035295	3.58892350772953	-645.4998133870662	-500.78192516509205	-48.020952096085615	-63.742917737664925	-861.1720865191874	-882.1391425895825"
16	"10009506	3.59928686455817	-557.9184446093266	-539.3093689263087	-73.86718188907076	-67.18739441817434	-869.7206492101843	-834.0216068614575"
17	"16625	6.630648	-395.1025761438294	-410.6975986957217	-218.34955627774184	-251.74100039018282	-1355.9423758872922	-1605.0224614275273"
18	"4270	4.02261238702772	-668.3333798745758	-746.8540758103646	-69.69049858017652	-68.61699867208847	-786.8226097339485	-986.3532659840125"
19	"17777	4.13366013096712	-265.11414334411865	-226.4283569764873	-71.23203734293492	-68.62477012421911	-590.3430832814706	-538.1864861763556"
20	"9743	5.44012039584156	-896.2209746417523	-994.4844428672891	-60.41896588259573	-87.35001168373579	-758.5250420632547	-722.3973702093009"
21	"10005113	5.820838	-623.3087280574607	-649.2374922295547	-136.70503733873193	-140.5956466938435	-769.688963884678	-708.7489787559487"
22	"7938	4.80631123887867	-528.4042556043939	-504.499802440319	-70.97833880410036	-61.227435978235974	-932.5010187496524	-863.5348307522212"
23	"18090	4.77562372049334	-544.4691795399117	-561.2226119609719	-48.97739186251951	-43.19935940504029	-870.9428999345374	-862.8620109914224"
24	"8113	4.90277103561231	-314.86443107986	-323.79980137795434	-56.86921395651598	-47.38390598133001	-589.0804403507678	-583.8961895920488"
25	"10000626	4.46468607001795	-491.23922535948725	-474.2736382885946	-85.40457852642443	-81.91435474280695	-660.482674718993	-593.7055262195478"
26	"17072	4.70200977971638	-147.92575125138373	-171.66096041945104	-11.570416183980004	-11.156521170830194	-199.3695516327344	-192.45435405281737"
27	"10013620	5.91753186734937	-238.45573558519627	-280.86797648678026	-31.30486537336558	-31.124317708522916	-353.4817311960411	-377.5268965821292"
28	"19342	5.974287	-209.3399002884678	-270.78613468538447	-127.18840772842933	-125.45515159354912	-691.4184493626425	-864.6249915238942"
29	"10013704	5.919825	-568.482298011562	-564.1050972444219	-56.78300732913664	-52.11043379224581	-591.3592401592134	-562.1183840412581"
30	"10005217	4.8883230178694	-996.5563131891415	-951.1462726561585	-151.327204485018	-159.64093399573525	-910.802804715551	-937.543374940906"
31	"10016374	5.50325569707072	-391.9805112721563	-378.6066228868989	-47.09373899540648	-53.396451791308216	-761.2336313110275	-759.5038284406997"
32	"19519	3.60450973158305	-390.27688799343804	-436.78427599122654	-67.7719799943561	-50.091758105002945	-625.9734645593728	-585.8799107793125"
33	"10001587	3.43070237834676	-358.4437100651188	-276.4830219480685	-52.017288573979606	-103.43014376718696	-283.71832546315716	-273.39895004245204"
34	"7809	3.57819206358422	-798.0573747882485	-541.9061148563095	-147.25464579835347	-69.59258635827747	-806.188577618047	-576.0129770716222"
35	"5759	5.05189382127941	-378.35923205537466	-432.49750115889486	-72.42694316367863	-76.26989200933288	-642.801138083517	-660.0970748158015"
36	"8083	4.6487198664651	-663.8905655086483	-643.5460450010016	-58.4227375905238	-60.89482404069902	-1086.4970645747617	-1080.5869594364788"
37	"6384	5.61541238216689	-160.68445452664662	-73.99513492884877	-47.9296016614496	-44.61340332868752	-180.64948738330637	-168.56601076243103"
38	"4297	6.712776	-822.4215740428928	-726.6906922440099	-81.80054763886933	-61.45212504935142	-1160.3713269821906	-1082.6700364065287"
39	"4197	3.748809	-152.77944548345104	-339.60550224648136	-35.51304475939459	7.290749085120854	-3.4282562142476762	-54.747145868110294"
40	"10013609	6.928894	-123.66686717157084	-97.81125492073046	-274.7699173836538	-180.83665423172405	-3016.266611018476	-1944.0776748033445"
41	"5329	3.5873007444784	-69.77073876891869	-62.370521449676225	-18.257030101637206	-21.620779186659725	-73.68405081692312	-67.1664401236178"
42	"20961	7.04457065169479	-282.2994221664603	-479.1594822569692	-79.01515803039466	-80.09670139199804	-444.72419827817686	-342.9186305265076"
43	"3184	3.46762	-273.99631817417696	-272.59882350822295	-23.02878049745476	-22.092227005899428	-326.92423264675244	-410.90218983991895"
44	"10013545	4.03498294164463	-278.91715383271736	-285.4361252131432	-36.26487387681237	-114.7495605954538	-383.95124502688293	-414.37073310240874"
45	"7762	4.14863310108243	-376.3444538287275	-354.052645974079	-60.991014081536406	-62.86313060542563	-560.1405661815597	-592.0400928371657"
46	"6002	5.93685818347379	-310.9558812145639	-286.6915732155654	-72.44432853878837	-63.948369332891495	-672.9928726560419	-601.1127672336897"
47	"10005447	6.62257640301802	-232.02634179739078	-215.03379969741414	-120.35657338631084	-137.91120216299444	-668.2580544537027	-821.9271320431127"
48	"10015338	5.07627227996806	-651.1436627153485	-591.6780323091341	-96.43526150312	-96.66761206958003	-803.7200023232557	-834.666078427853"
49	"10013618	5.94372301071691	-95.83974306463553	-87.77513297512522	-12.725809205502529	-11.841899387671209	-151.40353168576664	-131.7813095244537"
50	"10056849	5.8142066790736	-697.9596262800197	-589.1577816125445	-127.91876916996434	-122.93674190992708	-778.2538724827523	-755.7793979413829"
51	"4404	5.763688	-449.4825603516319	-442.0811122011091	-87.2959147278768	-97.90174670485348	-802.9870862970015	-767.5433779923213"
52	"7507	4.04428024657048	-692.9375731284015	-710.609978738508	-82.99227472601345	-84.29795468460757	-631.7897903913583	-634.5449142391376"
53	"18846	6.335054	-299.96104469013926	-297.9301599969911	-101.02061078884073	-116.82912670485038	-712.6696502510541	-740.527727715718"
54	"10009693	6.28599376348805	-493.9982188028391	-2466.3065458231163	44.9864480315083	29.00684254566752	-1989.4731140543086	-1377.991562141996"
