NIRSpec_ID	JADES_FILENAME	MAST_FILENAME	redshift	RA	DEC
3184	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013491_nirspec_clear-prism_x1d.fits	3.46762	53.1501	-27.81971
3334	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000274_nirspec_clear-prism_x1d.fits	6.70593	53.15138	-27.81917
3968	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_clear-prism_v1.0_x1d.fits	jw01210-o001_s000000023_nirspec_clear-prism_x1d.fits	5.76847043540196		
4197	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009491_nirspec_clear-prism_x1d.fits	3.748809		
4270	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009489_nirspec_clear-prism_x1d.fits	4.02261238702772		
4282	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000281_nirspec_clear-prism_x1d.fits	3.599695		
4297	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000256_nirspec_clear-prism_x1d.fits	6.712776		
4404	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015099_nirspec_clear-prism_x1d.fits	5.763688		
5329	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013301_nirspec_clear-prism_x1d.fits	3.5873007444784		
5457	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_clear-prism_v1.0_x1d.fits	jw01210-o001_s000000054_nirspec_clear-prism_x1d.fits	4.8631511339788		
5759	hlsp_jades_jwst_nirspec_goods-s-deephst-00005759_clear-prism_v1.0_x1d.fits	jw01210-o001_s000005233_nirspec_clear-prism_x1d.fits	5.05189382127941		
6002	hlsp_jades_jwst_nirspec_goods-s-deephst-00006002_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015125_nirspec_clear-prism_x1d.fits	5.93685818347379		
6246	hlsp_jades_jwst_nirspec_goods-s-deephst-00006242_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000258_nirspec_clear-prism_x1d.fits	5.56159788939357		
6384	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013877_nirspec_clear-prism_x1d.fits	5.61541238216689		
7507	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009306_nirspec_clear-prism_x1d.fits	4.04428024657048		
7624	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000113_nirspec_clear-prism_x1d.fits	4.854		
7762	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015157_nirspec_clear-prism_x1d.fits	4.14863310108243		
7809	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009694_nirspec_clear-prism_x1d.fits	3.57819206358422		
7892	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009451_nirspec_clear-prism_x1d.fits	4.22872754610498		
7938	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009695_nirspec_clear-prism_x1d.fits	4.80631123887867		
8013	hlsp_jades_jwst_nirspec_goods-s-deephst-00008013_clear-prism_v1.0_x1d.fits	jw01210-o001_s000006139_nirspec_clear-prism_x1d.fits	8.47315		
8079	hlsp_jades_jwst_nirspec_goods-s-deephst-00008079_clear-prism_v1.0_x1d.fits	jw01210-o001_s000005115_nirspec_clear-prism_x1d.fits	7.258982		
8083	hlsp_jades_jwst_nirspec_goods-s-deephst-00008083_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009515_nirspec_clear-prism_x1d.fits	4.6487198664651		
8113	hlsp_jades_jwst_nirspec_goods-s-deephst-00008113_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013846_nirspec_clear-prism_x1d.fits	4.90277103561231		
9422	hlsp_jades_jwst_nirspec_goods-s-deephst-00009422_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013176_nirspec_clear-prism_x1d.fits	5.935895		
9452	hlsp_jades_jwst_nirspec_goods-s-deephst-00009452_clear-prism_v1.0_x1d.fits	jw01210-o001_s000036976_nirspec_clear-prism_x1d.fits	5.12243857379367		
9743	hlsp_jades_jwst_nirspec_goods-s-deephst-00009743_clear-prism_v1.0_x1d.fits	jw01210-o001_s000002075_nirspec_clear-prism_x1d.fits	5.44012039584156		
16625	hlsp_jades_jwst_nirspec_goods-s-deephst-00016625_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009903_nirspec_clear-prism_x1d.fits	6.630648		
