ID	redshift	EW(Ha) MAST	EW(Ha) JADES	EW(Hb) MAST	EW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) JADES
3184	3.46762	-914.0435380832159	-571.9378219898647	-74.86315028758138	-64.45617229381298	-620.9473303574912	-653.4610031275422
3334	6.70593	-892.835699719438	-174.3381101260541	-45.78412645911084	-68.74603506359392	-627.493066293861	-1852.5006524648393
4197	3.748809	592.6184190647753	413.56350956240146	308.9274316661911	207.29437816105343	319.6917905265185	321.2418859311616
4270	4.02261238702772	-668.3333798745758	-746.8540758103646	-69.69049858017652	-68.61699867208847	-786.8226097339485	-986.3532659840125
4297	6.712776	-311.22767573515324	-206.5323268893462	-203.37339730294033	-236.43151480111845	-3050.3441498841144	-4740.738690237606
4404	5.763688	5090.094117023404	-3131.2728898560194	-50.231712494737785	-68.23329811539648	-685.1217731335356	-693.0639133034006
5329	3.5873007444784	-333.394671179653	-272.99611107997805	-101.03588321513666	-88.54532097635757	-239.06146601583958	-221.53929474687044
5759	5.05189382127941	-414.2994488353611	-573.0431706844229	-88.89205619834217	-66.61911096421679	-738.8916830086362	-627.8709752022756
6002	5.93685818347379	-5322.28957768782	-1441.0849745802343	-56.693056474935965	-54.11851560097559	-702.6171388317365	-643.8516626644702
6384	5.61541238216689	-5518.4023610675185	-397.71473819421186	-22.962500046210472	-23.844607299618822	-131.82716281914912	-136.97454836738035
7507	4.04428024657048	12063.23969899269	5241.276773606693	499.0045095743627	287.66009672491367	1572.4568114121603	1023.0217604500485
7624	4.854	17.65924646784112	-37.80316700929084	-18.566642456696634	-17.16422756502263	-117.62730961281636	-115.44447753759533
7762	4.14863310108243	-376.3444538287275	-354.052645974079	-60.991014081536406	-62.86313060542563	-560.1405661815597	-592.0400928371657
7809	3.57819206358422	-798.0573747882485	-541.9061148563095	-147.25464579835347	-69.59258635827747	-806.188577618047	-576.0129770716222
7892	4.22872754610498	-821.3556845811904	-771.1261570724595	-161.3754925246874	-143.32874960312625	-1341.7614426125915	-1205.437520882276
7938	4.80631123887867	-528.4042556043939	-504.499802440319	-70.97833880410036	-61.227435978235974	-932.5010187496524	-863.5348307522212
8083	4.6487198664651	-663.8905655086483	-643.5460450010016	-58.4227375905238	-60.89482404069902	-1086.4970645747617	-1080.5869594364788
8113	4.90277103561231	-463.956737434979	-432.07865728610733	-35.51969899023359	-29.199269495746467	-473.74472017684525	-492.14823774442783
9422	5.935895	-3500.3580612613387	-2158.76898648319	-87.2380272320615	-72.59023749845053	-1066.5811175191413	-1028.2542821241245
9452	5.12243857379367	-369.8295306923603	-385.86463830281957	-13.513916004596789	-26.265431021621218	-641.330188550274	-468.8884539247337
9743	5.44012039584156	-588.2860995990948	-1973.6683326330917	-83.17677838589633	-64.70432776819797	-871.3276521959915	-626.9697779106255
16625	6.630648	-395.1025761438294	-410.6975986957217	-218.34955627774184	-251.74100039018282	-1355.9423758872922	-1605.0224614275273
16745	5.56655234405774	-1897.1448698556887	-2608.7747265973057	-8.93654001439385	-5.746263662932756	-420.5734514335618	-386.88151593412147
17072	4.70200977971638	-169.42428785843805	-243.36582218463428	-20.58846629518778	-6.799795602961314	-244.15412102785388	-185.1202772305378
17260	4.88512714601353	-209.4897584154844	-277.71734625085617	-142.45115392112194	-107.89059601914165	-437.92890290727615	-376.0692584643427
17566	6.101534	-1000.7866131606511	-384.05873611891116	-16.539480993349475	-21.782852583983264	-375.2369314288421	-354.794884969446
17777	4.13366013096712	-265.11414334411865	-226.4283569764873	-71.23203734293492	-68.62477012421911	-590.3430832814706	-538.1864861763556
18028	3.73094591607022	-141.2122060985028	-315.8388301249254	-29.52163934807899	-178.57969137308226	-146.8143658153448	-767.5078618706373
18090	4.77562372049334	-544.4691795399117	-561.2226119609719	-48.97739186251951	-43.19935940504029	-870.9428999345374	-862.8620109914224
18846	6.335054	-853.0751859357108	-778.2247959427282	-103.51150698253	-128.35242215077136	-984.7643449358617	-1196.231574551183
18976	6.327052	-323.3682509555972	-791.0298470226849	-70.16498096705979	-81.43286395836127	-587.3797716316426	-848.6223448063438
19342	5.974287	-711.6116203246338	-1891.4272977931657	-90.62906220848245	-66.34932858991985	-632.7516522879431	-744.8678466716449
19519	3.60450973158305	-520.6430156092237	-517.5238208919693	-103.51763435375298	-65.08610607915162	-794.6997274994376	-673.1790681108139
19606	5.88913558713673	-4792.922763222119	-839.3509301674621	-87.2599338250028	-123.67710871220896	-871.2797386872273	-1150.2247143280604
20961	7.04457065169479	-36.693455898419245	4.7463240009203655	-431.51705738910516	-737.7909493399774	-3344.5660960405967	-24144.987789430474
22251	5.79838391626917	-853.1029411000103	-1045.4543654729925	-43.23213335133583	-37.231081602316415	-782.7294740696665	-769.3531628393586
10000626	4.46468607001795	-509.17244344898376	-486.7786258062096	7447.906664925609	9318.652879829335	16050.857259781233	19988.08948927383
10001587	3.43070237834676	-6586.940785717237	-2865.729717169016	-173.7787405558233	-504.78088121959786	-801.3196306296488	-1318.6648867355857
10001892	4.770522	-413.402190299582	-463.76327427169565	-39.218800773923604	-39.19141386743441	-129.50430605418222	-108.06186694700116
10005113	5.820838	3680.568893177921	-31623.8927699892	-80.52891264307047	-104.97875964737227	-631.744592624328	-644.9203453312581
10005217	4.8883230178694	-1419.280893505943	-1750.8047687667374	-112.52134001907825	-84.0224984652071	-768.1569150373908	-649.5366522733725
10005447	6.62257640301802	-142.72978791673975	-92.8789384034566	-266.93145255418494	-638.7062503462823	-2557.6718383954094	93887.61396825095
10009506	3.59928686455817	-1998.639138726698	-1463.5660801765343	-147.93906009831585	-137.09812344127994	-1522.8939158696007	-1405.0289584546836
10009693	6.28599376348805	-2496.7685065699993	3080.0155568855366	15.447894626053209	-10.151830223387517	-9481.09201477595	-4818.884242009217
10009848	4.37	-49.8939184681347	8.079596201058797	-13.906580095019478	-3.66348065402488	-47.39608318556613	-11.805720906712594
10013545	4.03498294164463	-407.92899740774817	-402.3109915746165	-61.95947593570333	-113.61476406140432	-500.61288221960854	-421.9415456938729
10013609	6.928894	-136.23254608864954	-97.6764350934488	-246.8326871603548	-181.2644613874525	-2600.863772359468	-1948.3488433668763
10013618	5.94372301071691	-455.5938469506631	-567.0557594632534	-4.944177395244684	-4.504520783653934	-156.690694515676	-138.38264374143694
10013620	5.91753186734937	-1787.2338816600254	-2354.6949324996986	-30.59780127639885	-34.80198908003748	-408.5733406374804	-457.15106658287425
10013704	5.919825	-568.482298011562	-564.1050972444219	-56.78300732913664	-52.11043379224581	-591.3592401592134	-562.1183840412581
