ID	redshift	EW(Ha) MAST	EW(Ha) JADES	EW(Hb) MAST	EW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) JADES
3184	3.46762	-914.0435380832159	-272.59882350822295	-74.86315028758138	-22.092227005899428	-620.9473303574912	-410.90218983991895
3334	6.70593	-892.835699719438	-509.39870906293754	-45.78412645911084	-1.7017106942091598	-627.493066293861	-683.5228751874392
4197	3.748809	592.6184190647753	-339.60550224648136	308.9274316661911	7.290749085120854	319.6917905265185	-54.747145868110294
4270	4.02261238702772	-668.3333798745758	-644.2477068322755	-69.69049858017652	-48.77698916912157	-786.8226097339485	-820.0614516507496
4297	6.712776	-311.22767573515324	-726.6906922440099	-203.37339730294033	-61.45212504935142	-3050.3441498841144	-1082.6700364065287
4404	5.763688	5090.094117023404	-442.0811122011091	-50.231712494737785	-97.90174670485348	-685.1217731335356	-767.5433779923213
5329	3.5873007444784	-333.394671179653	-62.370521449676225	-101.03588321513666	-21.620779186659725	-239.06146601583958	-67.1664401236178
5759	5.05189382127941	-414.2994488353611	-432.49750115889486	-88.89205619834217	-76.26989200933288	-738.8916830086362	-660.0970748158015
6002	5.93685818347379	-5322.28957768782	-286.6915732155654	-56.693056474935965	-63.948369332891495	-702.6171388317365	-601.1127672336897
6384	5.61541238216689	-5518.4023610675185	-73.99513492884877	-22.962500046210472	-44.61340332868752	-131.82716281914912	-168.56601076243103
7507	4.04428024657048	12063.23969899269	-710.609978738508	499.0045095743627	-84.29795468460757	1572.4568114121603	-634.5449142391376
7624	4.854	17.65924646784112	-54.220105590886426	-18.566642456696634	0.6466557752288088	-117.62730961281636	-78.77791241390048
7762	4.14863310108243	-376.3444538287275	-289.3183097353632	-60.991014081536406	-30.512094190311306	-560.1405661815597	-428.23380479701393
7809	3.57819206358422	-798.0573747882485	-234.8321598366257	-147.25464579835347	-18.066434787173108	-806.188577618047	-314.75297157173355
7892	4.22872754610498	-821.3556845811904	-583.5493181451308	-161.3754925246874	-69.87217934961342	-1341.7614426125915	-736.4486923477385
7938	4.80631123887867	-528.4042556043939	-406.5893934208389	-70.97833880410036	-58.43653468726458	-932.5010187496524	-823.2615388675339
8083	4.6487198664651	-663.8905655086483	-630.5658202482917	-58.4227375905238	-47.60889327010141	-1086.4970645747617	-969.4052907993524
8113	4.90277103561231	-463.956737434979	-323.79980137795434	-35.51969899023359	-47.38390598133001	-473.74472017684525	-583.8961895920488
9422	5.935895	-3500.3580612613387	-522.10561490479	-87.2380272320615	-91.60237239116341	-1066.5811175191413	-1033.3988114611432
9452	5.12243857379367	-369.8295306923603	-347.83864695131433	-13.513916004596789	-28.90439536171479	-641.330188550274	-478.90667526716413
9743	5.44012039584156	-588.2860995990948	-561.5391738154025	-83.17677838589633	-143.99778922199133	-871.3276521959915	-956.9593100790136
16625	6.630648	-395.1025761438294	-647.3786048106912	-218.34955627774184	-129.25086919513873	-1355.9423758872922	-717.0678065347861
16745	5.56655234405774	-1897.1448698556887	-219.74881081948618	-8.93654001439385	-42.49073245082522	-420.5734514335618	-552.4841261990705
17072	4.70200977971638	-169.42428785843805	-171.66096041945104	-20.58846629518778	-11.156521170830194	-244.15412102785388	-192.45435405281737
17260	4.88512714601353	-209.4897584154844	-237.3500241051568	-142.45115392112194	-59.67561195517411	-437.92890290727615	-224.9279855461841
17566	6.101534	-1000.7866131606511	-219.83522405239103	-16.539480993349475	-27.267755776699858	-375.2369314288421	-344.59326654626955
17777	4.13366013096712	-265.11414334411865	-164.2402966495638	-71.23203734293492	-15.00107932706333	-590.3430832814706	-299.664661913454
18028	3.73094591607022	-141.2122060985028	-164.96445436059474	-29.52163934807899	-63.81200421059053	-146.8143658153448	-356.5155779727349
18090	4.77562372049334	-544.4691795399117	-470.966746043942	-48.97739186251951	-54.46967972030565	-870.9428999345374	-934.8816680027738
18846	6.335054	-853.0751859357108	-372.5603858168727	-103.51150698253	-91.41345608321706	-984.7643449358617	-683.7253060712019
18976	6.327052	-323.3682509555972	-445.8381597501862	-70.16498096705979	-59.93864678632128	-587.3797716316426	-579.955885235807
19342	5.974287	-711.6116203246338	-414.04588513170444	-90.62906220848245	-76.99308673696532	-632.7516522879431	-692.8175202195889
19519	3.60450973158305	-520.6430156092237	-353.6023060504954	-103.51763435375298	-37.93410087480469	-794.6997274994376	-513.2935122843014
19606	5.88913558713673	-4792.922763222119	-484.9406749064079	-87.2599338250028	-99.80371337105191	-871.2797386872273	-930.7670748884595
20961	7.04457065169479	-36.693455898419245	-479.1594822569692	-431.51705738910516	-80.09670139199804	-3344.5660960405967	-342.9186305265076
22251	5.79838391626917	-853.1029411000103	-423.82036946548374	-43.23213335133583	-55.83903327781767	-782.7294740696665	-828.3343794640009
10000626	4.46468607001795	-509.17244344898376	-498.71206678373517	7447.906664925609	-102.23667731816406	16050.857259781233	-683.2119426999649
10001587	3.43070237834676	-6586.940785717237	-329.0851613413885	-173.7787405558233	-104.84149713731586	-801.3196306296488	-281.94728011391703
10001892	4.770522	-413.402190299582	-308.15489003455644	-39.218800773923604	-73.17732480832984	-129.50430605418222	-170.79488685719252
10005113	5.820838	3680.568893177921	-649.2374922295547	-80.52891264307047	-140.5956466938435	-631.744592624328	-708.7489787559487
10005217	4.8883230178694	-1419.280893505943	-935.9256393779897	-112.52134001907825	-175.2733409368705	-768.1569150373908	-1003.4193883559038
10005447	6.62257640301802	-142.72978791673975	-202.05917923043663	-266.93145255418494	-120.52604195448644	-2557.6718383954094	-830.5620652341443
10009506	3.59928686455817	-1998.639138726698	-420.09223769173843	-147.93906009831585	-37.00146098128995	-1522.8939158696007	-645.7624869198255
10009693	6.28599376348805	-2496.7685065699993	-2466.3065458231163	15.447894626053209	29.00684254566752	-9481.09201477595	-1377.991562141996
10009848	4.37	-49.8939184681347	15.900981674942862	-13.906580095019478	-11.264523689510945	-47.39608318556613	-24.589776200515015
10013545	4.03498294164463	-407.92899740774817	-426.1774999908462	-61.95947593570333	-154.89358000839377	-500.61288221960854	-530.250117810102
10013609	6.928894	-136.23254608864954	-361.2793629198266	-246.8326871603548	-70.44109944064067	-2600.863772359468	-828.6947935056936
10013618	5.94372301071691	-455.5938469506631	-64.70613607063802	-4.944177395244684	-21.560469947753667	-156.690694515676	-154.58044474408186
10013620	5.91753186734937	-1787.2338816600254	-207.09811193500997	-30.59780127639885	-48.866873622112266	-408.5733406374804	-443.7232572174616
10013704	5.919825	-568.482298011562	-402.37075573385977	-56.78300732913664	-63.545878995775354	-591.3592401592134	-573.1724905462695
10015338	5.07627227996806	-898.3450733108965	-591.6780323091341	-95.39284037913133	-96.66761206958003	-826.9321733073364	-834.666078427853
10016186	3.92792643507394	-617.4273660282743	-270.17747214321173	-150.71163230351107	-24.146340234039215	-791.4035691314687	-285.1714129559582
10016374	5.50325569707072	-871.1766435588694	-378.6066228868989	-27.42987854284644	-53.396451791308216	-675.7475857584641	-759.5038284406997
10035295	3.58892350772953	-1646.3314014060043	-577.2142622624199	-108.96066168256448	-69.68608538780299	-1483.6147219464954	-933.0071327380195
10056849	5.8142066790736	-2643.654869249385	-589.1577816125445	-116.90959752396434	-122.93674190992708	-823.8174143990792	-755.7793979413829
