ID	redshift	EW(Ha) MAST	EW(Ha) JADES	EW(Hb) MAST	EW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) JADES
3184	3.46762	-242.81366504455434	-245.32232205887985	-20.62037418615663	-19.13857692357759	-312.56273896318015	-392.85874828892804
3334	6.70593	-588.8085812212171	-500.3962250392666	-57.858501559458915	-1.1419290017334809	-754.5484696672286	-682.73151976164
4197	3.748809	-133.08875431234202	-264.6382708077771	-29.745189334342037	14.390420951147535	3.082887917808764	-37.93316917784187
4270	4.02261238702772	-582.6117645647843	-620.9021089936051	-57.98940337280894	-45.32997340335612	-709.332014042368	-790.5972787337327
4297	6.712776	-796.946779682122	-699.5229475820233	-79.53570741190192	-59.43114353822737	-1154.9820912267264	-1079.9019477916868
4404	5.763688	-503.61324376233654	-491.23454738218527	-76.9647499424897	-87.48785715892501	-751.9895391912886	-720.7986244619053
5329	3.5873007444784	-56.42983585399661	-52.12990062801629	-14.945447367182023	-19.192082264648402	-66.86724748105506	-61.379966300899916
5759	5.05189382127941	-393.7360575324616	-454.5423568914916	-62.02589756051853	-63.69594984585717	-590.8635392325783	-594.4120161374475
6002	5.93685818347379	-349.23484255785183	-333.23376359826466	-63.09310799667739	-52.71459053467311	-630.9040457619842	-555.1201291582346
6384	5.61541238216689	-186.68981638772232	-92.07150711570453	-40.378575937350035	-35.25143529019647	-160.56458039955498	-148.37349002101837
7507	4.04428024657048	-614.5575644493489	-607.4006698739905	-71.09362483467058	-69.97971011043961	-571.2161157899053	-555.0713042308844
7624	4.854	7.4518412824956215	-53.55537321957826	-2.024488818578381	-1.2224640626913101	-78.55068680209526	-82.95539525204018
7762	4.14863310108243	-292.18181050924204	-276.072093902387	-28.296899385595417	-26.39358346066149	-395.8264247921877	-407.00104799691997
7809	3.57819206358422	-208.10804743170172	-207.9783016709141	-37.378813863205025	-14.549217422972013	-361.055753159016	-296.23223900277566
7892	4.22872754610498	-557.5772792831957	-547.7687770388129	-66.63098915968624	-60.70509744334973	-731.883259165133	-679.1216486414183
7938	4.80631123887867	-463.90159564356753	-414.20707351961346	-43.452614106235515	-46.897132261940214	-732.8385056331017	-743.4619312009137
8083	4.6487198664651	-641.4830672897166	-628.5465563420012	-41.10239752433084	-42.54094938857348	-946.4248517453259	-927.5739635232638
8113	4.90277103561231	-321.2932703297471	-329.39704954677967	-50.820830461982666	-41.97640626920842	-552.3888622369882	-553.1507739486788
9422	5.935895	-643.2700775838204	-562.6980761434395	-101.24331718924681	-83.85060645010844	-1041.4674563236122	-991.309507697631
9452	5.12243857379367	-363.7268415941969	-343.8091726232856	-7.945908903612809	-30.547842971535953	-594.7395480459952	-488.4210323115306
9743	5.44012039584156	-632.3913696890768	-612.6605743616632	-80.5823698131596	-122.394186314609	-862.0735969466056	-860.0322311778489
16625	6.630648	-506.73851839275005	-644.3856270999482	-143.52397443114867	-125.06863656521062	-820.1295193625283	-709.4886963593582
16745	5.56655234405774	-277.28167915160475	-244.3227522045811	-36.21891852573333	-33.48343616474052	-517.816738304585	-503.7521987247963
17072	4.70200977971638	-147.7074430192617	-172.20020432795417	-6.782441036818333	-3.133113598977503	-177.86613575548333	-164.32123750294443
17260	4.88512714601353	-238.56421438519646	-248.04863545315155	-31.56395763233544	-47.08992820027981	-152.8657959378974	-190.09691801216053
17566	6.101534	-222.0199709995709	-235.45523792092968	-26.79808547451568	-23.33834667973766	-358.12746948434324	-331.1333750740223
17777	4.13366013096712	-174.58294335304404	-156.2482507772391	-8.914000818783054	-11.847692120388732	-292.6923928973459	-285.29635961930325
18028	3.73094591607022	-91.36882764539597	-150.62869760575725	-13.158260178346687	-58.377560121066466	-90.21502834208708	-336.2728488529107
18090	4.77562372049334	-486.60589203327635	-474.42980801673343	-47.374944295845204	-47.60283123768261	-845.5064087281231	-881.3979423141081
18846	6.335054	-383.75355795837567	-402.84403635832734	-78.9325452940877	-82.29380359674799	-653.5569893669043	-654.9886100358125
18976	6.327052	-282.3877047921379	-476.54664259080346	-55.312009409323345	-54.2367089932749	-486.7042287316629	-560.7873354099261
19342	5.974287	-325.329336438274	-451.7739433630456	-87.495149351037	-68.73796699881636	-565.7513087029943	-658.3807964909378
19519	3.60450973158305	-289.7739463913915	-324.92772129426737	-46.5665264084849	-34.58178912517509	-523.5089997255885	-492.36856810467543
19606	5.88913558713673	-553.2488755781146	-536.6601155218813	-90.45117035429905	-88.76596721732828	-790.6712641016534	-877.0213746087879
20961	7.04457065169479	-273.5989166638221	-407.4766663074081	-79.16681049595957	-80.39026171071676	-446.87384051304184	-345.69719791833467
22251	5.79838391626917	-442.78384293151424	-449.24678493900046	-50.940211166039134	-50.51682113995445	-792.4915501821866	-798.5364442991932
10000626	4.46468607001795	-491.23922535948725	-474.2736382885946	-85.40457852642443	-81.91435474280695	-660.482674718993	-593.7055262195478
10001587	3.43070237834676	-427.2751379415902	-325.64481157704756	-51.96151651158274	-104.46639309517988	-288.7394455248708	-280.87182523286526
10001892	4.770522	-333.2158196741234	-315.97574332953593	-33.06100455121739	-50.36613097702107	-112.4181200472147	-124.55675143163751
10005113	5.820838	-634.2430402445599	-687.068529438258	-134.1231370655383	-134.04511252545345	-760.2762548198768	-686.7182049645057
10005217	4.8883230178694	-996.5563131891415	-951.1462726561585	-151.327204485018	-159.64093399573525	-910.802804715551	-937.543374940906
10005447	6.62257640301802	-257.6692003778943	-201.60375841494647	-99.21078093180455	-111.12999464048877	-651.103797445126	-806.372266185635
10009506	3.59928686455817	-403.3435103303301	-375.8376585626396	-44.07727844215585	-32.810673963999676	-662.1208718047335	-613.9082721915745
10009693	6.28599376348805	-516.7301254533969	-3306.9672721980114	47.704533298760985	32.593346418210345	-1880.4280808359742	-1307.413619253482
10009848	4.37	-29.89841602644196	17.52061384331759	-5.782454751058461	-9.121640320028245	-27.318726879425668	-20.24230129593273
10013545	4.03498294164463	-301.14404750996215	-339.5189481797334	-40.44025655407725	-127.89368713388704	-402.99506943071685	-452.98296776496744
10013609	6.928894	-364.1574740831144	-333.73277360517983	-108.64314729431527	-69.46657802697194	-1085.960544288514	-832.7387015307494
10013618	5.94372301071691	-83.81637120767846	-76.02014813676381	-18.097105722324013	-16.574285909563486	-163.13317042599363	-143.1752970717581
10013620	5.91753186734937	-208.58949998733596	-237.45445018379874	-38.562528251750145	-40.55963044441658	-381.4372946367854	-413.5615224628545
10013704	5.919825	-434.7930865891595	-413.87418821589705	-63.58658096734341	-59.31392086476801	-590.5194565272307	-557.3617301657289
10015338	5.07627227996806	-696.2180327288847	-620.612840541248	-79.38114048415794	-83.189783212853	-713.7705083714111	-764.0988034160581
10016186	3.92792643507394	-230.81523228473435	-243.4165861053856	-25.40776995360368	-19.42821569091344	-268.5872221030941	-261.9452946382638
10016374	5.50325569707072	-412.21304839261984	-406.7271064055437	-41.948496777911906	-46.66556774548813	-731.4369115346655	-717.0840589302798
10035295	3.58892350772953	-702.1299977081632	-549.6858620990826	-50.22071810985941	-67.07397688018125	-887.0495993850166	-911.8260239026793
10056849	5.8142066790736	-737.8403504016901	-623.2093867082318	-120.31739624165962	-114.57602720311897	-749.6286386325496	-725.9627292604001
