NIRSpec_ID	redshift	JADES_FILENAME_PRISM	MAST_FILENAME_PRISM	JADES_FILENAME_G140M	JADES_FILENAME_G235M	JADES_FILENAME_G395M	MAST_FILENAME_G140M	MAST_FILENAME_G235M	MAST_FILENAME_G395M	JADES_FILENAME_G395H	MAST_FILENAME_G395H	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII4959]_ini	[OIII4959]_end	[OIII5007]_ini	[OIII5007]_end
3184	3.46762	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013491_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000013491_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000013491_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000013491_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003184_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000013491_nirspec_f290lp-g395h_x1d.fits	Clarisa	6543	6575	4850	4871	4951	4965	4993	5019
3334	6.70593	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000274_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_b000000110_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_b000000110_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_b000000110_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003334_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_b000000110_nirspec_f290lp-g395h_x1d.fits	Gabriela	6556	6568	4859	4866	4959	4968	5002	5010
3968	5.76847043540196	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_clear-prism_v1.0_x1d.fits	jw01210-o001_s000000023_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_b000000294_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_b000000294_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_b000000294_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00003968_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_b000000294_nirspec_f290lp-g395h_x1d.fits	Lorena	6559	6573	4858	4869	4951	4972	5001	5012
4197	3.748809	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009491_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000009491_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000009491_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000009491_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004197_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000009491_nirspec_f290lp-g395h_x1d.fits	Margarita	6558	6565						
4270	4.02261238702772	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009489_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000009489_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000009489_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000009489_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004270_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000009489_nirspec_f290lp-g395h_x1d.fits	Noelia	6554	6574	4853	4870	4951	4975	4997	5020
4282	3.599695	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000281_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_b000000300_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_b000000300_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_b000000300_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004282_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_b000000300_nirspec_f290lp-g395h_x1d.fits	Panchita	6560	6571	4859	4868	4951	4963	5004	5013
4297	6.712776	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000256_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_b000000092_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_b000000092_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_b000000092_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004297_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_b000000092_nirspec_f290lp-g395h_x1d.fits	Carla	6558	6568	4857	4864	4954	4962	5001	5013
4404	5.763688	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015099_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000015099_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000015099_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000015099_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00004404_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000015099_nirspec_f290lp-g395h_x1d.fits	Gina	6556	6570	4853	4864	4946	4965	4997	5013
5329	3.5873007444784	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013301_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000013301_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000013301_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000013301_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005329_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000013301_nirspec_f290lp-g395h_x1d.fits	Betty	6554	6573	4857	4862	4953	4965	5000	5014
5457	4.8631511339788	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_clear-prism_v1.0_x1d.fits	jw01210-o001_s000000054_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000000054_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000000054_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000000054_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005457_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000000054_nirspec_f290lp-g395h_x1d.fits	Melanny								
